非洲大蜗牛, HAS_ALIAS, 褐云玛瑙螺, type=学名
非洲大蜗牛, SPREAD_RISK_TO, 海南, confidence=高
非洲大蜗牛, SPREAD_RISK_TO, 香港, confidence=高
非洲大蜗牛, SPREAD_RISK_TO, 澳门, confidence=高
非洲大蜗牛, SPREAD_RISK_TO, 台湾, confidence=高
非洲大蜗牛, SPREAD_RISK_TO, 南亚, confidence=高
非洲大蜗牛, SPREAD_RISK_TO, 东南亚, confidence=高
非洲大蜗牛, SPREAD_RISK_TO, 日本, confidence=高
非洲大蜗牛, SPREAD_RISK_TO, 印度, confidence=高
非洲大蜗牛, SPREAD_RISK_TO, 马尔代夫, confidence=高
非洲大蜗牛, SPREAD_RISK_TO, 斯里兰卡, confidence=高
非洲大蜗牛, SPREAD_RISK_TO, 新加坡, confidence=高
非洲大蜗牛, SPREAD_RISK_TO, 南洋群岛, confidence=高
非洲大蜗牛, SPREAD_RISK_TO, 世界大部分湿热地区, confidence=高
非洲大蜗牛, HAS_HABIT, 爬行速度慢, 
非洲大蜗牛, HAS_HABIT, 嗅觉灵敏, 
非洲大蜗牛, HAS_HABIT, 视觉一般, 
非洲大蜗牛, HAS_HABIT, 传播广州管圆线虫, 
非洲大蜗牛, HAS_HABIT, 作为中间宿主, 
非洲大蜗牛, HAS_HABIT, 可食用, 
非洲大蜗牛, HAS_HABIT, 高蛋白低脂肪, 
非洲大蜗牛, HAS_HABIT, 可作饲料, 
非洲大蜗牛, HAS_HABIT, 可作饵料, 
非洲大蜗牛, HAS_ALIAS, 白玉蜗牛, type=品种
非洲大蜗牛, HAS_ALIAS, 褐云玛瑙螺, type=学名
