Entity1,Relationship,Entity2,Property,species_source
鳄雀鳝,COMPETES_WITH,本土鱼类,severity=高,鳄雀鳝
鳄雀鳝,HAS_ALIAS,Alligator gar,type=学名,鳄雀鳝
鳄雀鳝,HAS_ALIAS,Atractosteus spatula,type=学名,鳄雀鳝
鳄雀鳝,HAS_ALIAS,大雀鳝,type=俗名,鳄雀鳝
鳄雀鳝,HAS_ALIAS,幽灵火箭,type=俗名,鳄雀鳝
鳄雀鳝,HAS_ALIAS,福鳄,type=俗名,鳄雀鳝
鳄雀鳝,HAS_ALIAS,纺锤骨雀鳝,type=俗名,鳄雀鳝
鳄雀鳝,HAS_ALIAS,锤骨雀鳝,type=俗名,鳄雀鳝
鳄雀鳝,HAS_ALIAS,鳄鱼火箭,type=俗名,鳄雀鳝
鳄雀鳝,HAS_HABIT,一次产卵15万-28万颗,,鳄雀鳝
鳄雀鳝,HAS_HABIT,伏击捕食,,鳄雀鳝
鳄雀鳝,HAS_HABIT,凶猛的捕食者,,鳄雀鳝
鳄雀鳝,HAS_HABIT,凶猛的肉食性鱼类,,鳄雀鳝
鳄雀鳝,HAS_HABIT,单独生活,,鳄雀鳝
鳄雀鳝,HAS_HABIT,夜间活动,,鳄雀鳝
鳄雀鳝,HAS_HABIT,大型肉食性凶猛鱼类,,鳄雀鳝
鳄雀鳝,HAS_HABIT,寿命可达26-50年以上,,鳄雀鳝
鳄雀鳝,HAS_HABIT,有领地意识,,鳄雀鳝
鳄雀鳝,HAS_HABIT,机会主义掠食者,,鳄雀鳝
鳄雀鳝,HAS_HABIT,每年5-8月产卵,,鳄雀鳝
鳄雀鳝,HAS_HABIT,独居,,鳄雀鳝
鳄雀鳝,HAS_HABIT,生性凶猛,,鳄雀鳝
鳄雀鳝,HAS_HABIT,离开水能存活一段时间,,鳄雀鳝
鳄雀鳝,HAS_HABIT,繁殖能力强,,鳄雀鳝
鳄雀鳝,HAS_HABIT,缺乏天敌,,鳄雀鳝
鳄雀鳝,HAS_HABIT,肉食性鱼类,,鳄雀鳝
鳄雀鳝,HAS_HABIT,能吞咽空气辅助呼吸,,鳄雀鳝
鳄雀鳝,HAS_HABIT,能用鱼鳔辅助呼吸,,鳄雀鳝
鳄雀鳝,HAS_HABIT,雄性6岁性成熟,,鳄雀鳝
鳄雀鳝,HAS_HABIT,雌性11岁性成熟,,鳄雀鳝
鳄雀鳝,HAS_HABIT,领地意识强,,鳄雀鳝
鳄雀鳝,HAS_MORPHOLOGY,上下颌有尖锐牙齿,,鳄雀鳝
鳄雀鳝,HAS_MORPHOLOGY,上下颚密布锋利牙齿,,鳄雀鳝
鳄雀鳝,HAS_MORPHOLOGY,体重137-159千克,,鳄雀鳝
鳄雀鳝,HAS_MORPHOLOGY,体重可达200多斤,,鳄雀鳝
鳄雀鳝,HAS_MORPHOLOGY,体长2-3米,,鳄雀鳝
鳄雀鳝,HAS_MORPHOLOGY,体长可达3米,,鳄雀鳝
鳄雀鳝,HAS_MORPHOLOGY,匕首般锋利的牙齿,,鳄雀鳝
鳄雀鳝,HAS_MORPHOLOGY,口尖似鳄鱼,,鳄雀鳝
鳄雀鳝,HAS_MORPHOLOGY,吻长口尖似鳄鱼,,鳄雀鳝
鳄雀鳝,HAS_MORPHOLOGY,外观形似鳄鱼,,鳄雀鳝
鳄雀鳝,HAS_MORPHOLOGY,密布锋利的牙齿,,鳄雀鳝
鳄雀鳝,HAS_MORPHOLOGY,尾部为圆尾,,鳄雀鳝
鳄雀鳝,HAS_MORPHOLOGY,尾鳍异尾型,,鳄雀鳝
鳄雀鳝,HAS_MORPHOLOGY,异常坚硬的鳞片,,鳄雀鳝
鳄雀鳝,HAS_MORPHOLOGY,短吻,,鳄雀鳝
鳄雀鳝,HAS_MORPHOLOGY,背部灰绿色或灰褐色,,鳄雀鳝
鳄雀鳝,HAS_MORPHOLOGY,腹部淡黄色或白色,,鳄雀鳝
鳄雀鳝,HAS_MORPHOLOGY,菱形硬鳞,,鳄雀鳝
鳄雀鳝,HAS_MORPHOLOGY,身体覆盖菱形硬鳞,,鳄雀鳝
鳄雀鳝,INTRODUCED_VIA,人为丢弃,,鳄雀鳝
鳄雀鳝,INTRODUCED_VIA,人为弃养,,鳄雀鳝
鳄雀鳝,INTRODUCED_VIA,人为引进,,鳄雀鳝
鳄雀鳝,INTRODUCED_VIA,人为放生,,鳄雀鳝
鳄雀鳝,INTRODUCED_VIA,弃养宠物,,鳄雀鳝
鳄雀鳝,INTRODUCED_VIA,放生,,鳄雀鳝
鳄雀鳝,INTRODUCED_VIA,电商平台售卖,,鳄雀鳝
鳄雀鳝,INTRODUCED_VIA,自然入侵,,鳄雀鳝
鳄雀鳝,INTRODUCED_VIA,观赏水族贸易,,鳄雀鳝
鳄雀鳝,INTRODUCED_VIA,观赏鱼贸易,,鳄雀鳝
鳄雀鳝,INTRODUCED_VIA,走私,,鳄雀鳝
鳄雀鳝,MITIGATES,上报农业农村局,method=检疫;type=辅助,鳄雀鳝
鳄雀鳝,MITIGATES,专业团队捕捞,method=物理;type=主要,鳄雀鳝
鳄雀鳝,MITIGATES,人工捕捉,method=物理;type=主要,鳄雀鳝
鳄雀鳝,MITIGATES,全国普查,method=检疫;type=辅助,鳄雀鳝
鳄雀鳝,MITIGATES,列入外来入侵物种名单,method=检疫;type=主要,鳄雀鳝
鳄雀鳝,MITIGATES,发现一条坚决抓除一条,method=物理;type=主要,鳄雀鳝
鳄雀鳝,MITIGATES,围网捕捞,method=物理;type=主要,鳄雀鳝
鳄雀鳝,MITIGATES,宣传教育,method=检疫;type=辅助,鳄雀鳝
鳄雀鳝,MITIGATES,抽干湖水,method=物理;type=主要,鳄雀鳝
鳄雀鳝,MITIGATES,无害化处理,method=物理;type=主要,鳄雀鳝
鳄雀鳝,MITIGATES,深埋处理,method=物理;type=主要,鳄雀鳝
鳄雀鳝,MITIGATES,渔政天眼系统,method=检疫;type=辅助,鳄雀鳝
鳄雀鳝,MITIGATES,灭杀,method=物理;type=主要,鳄雀鳝
鳄雀鳝,MITIGATES,禁止放生,method=检疫;type=主要,鳄雀鳝
鳄雀鳝,MITIGATES,移交相关科研院校,method=检疫;type=辅助,鳄雀鳝
鳄雀鳝,MITIGATES,移交野生动物救护中心,method=检疫;type=辅助,鳄雀鳝
鳄雀鳝,MITIGATES,立法监管,method=检疫;type=主要,鳄雀鳝
鳄雀鳝,MITIGATES,管控引种和贸易,method=检疫;type=主要,鳄雀鳝
鳄雀鳝,MITIGATES,路亚钓,method=物理;type=主要,鳄雀鳝
鳄雀鳝,MITIGATES,限制引种和贸易,method=检疫;type=主要,鳄雀鳝
鳄雀鳝,NATIVE_TO,伊利诺伊州,,鳄雀鳝
鳄雀鳝,NATIVE_TO,佛罗里达州,,鳄雀鳝
鳄雀鳝,NATIVE_TO,俄亥俄河,,鳄雀鳝
鳄雀鳝,NATIVE_TO,俄克拉荷马州,,鳄雀鳝
鳄雀鳝,NATIVE_TO,北美洲,,鳄雀鳝
鳄雀鳝,NATIVE_TO,北美洲密西西比河流域,,鳄雀鳝
鳄雀鳝,NATIVE_TO,墨西哥,,鳄雀鳝
鳄雀鳝,NATIVE_TO,墨西哥,type=国家,鳄雀鳝
鳄雀鳝,NATIVE_TO,墨西哥湾沿岸平原,,鳄雀鳝
鳄雀鳝,NATIVE_TO,密苏里州,,鳄雀鳝
鳄雀鳝,NATIVE_TO,密苏里河,,鳄雀鳝
鳄雀鳝,NATIVE_TO,密西西比州,,鳄雀鳝
鳄雀鳝,NATIVE_TO,密西西比河流域,,鳄雀鳝
鳄雀鳝,NATIVE_TO,尼加拉瓜,,鳄雀鳝
鳄雀鳝,NATIVE_TO,德克萨斯州,,鳄雀鳝
鳄雀鳝,NATIVE_TO,田纳西州,,鳄雀鳝
鳄雀鳝,NATIVE_TO,美国,type=国家,鳄雀鳝
鳄雀鳝,NATIVE_TO,美国佛罗里达州,,鳄雀鳝
鳄雀鳝,NATIVE_TO,美洲,,鳄雀鳝
鳄雀鳝,NATIVE_TO,肯塔基州,,鳄雀鳝
鳄雀鳝,NATIVE_TO,路易斯安那州,,鳄雀鳝
鳄雀鳝,NATIVE_TO,阿拉巴马州,,鳄雀鳝
鳄雀鳝,NATIVE_TO,阿肯色州,,鳄雀鳝
鳄雀鳝,NATIVE_TO,韦拉克鲁斯州,,鳄雀鳝
鳄雀鳝,PREYS_ON,两栖动物,severity=中,鳄雀鳝
鳄雀鳝,PREYS_ON,两栖动物,severity=高,鳄雀鳝
鳄雀鳝,PREYS_ON,人类,severity=低,鳄雀鳝
鳄雀鳝,PREYS_ON,养殖种,severity=高,鳄雀鳝
鳄雀鳝,PREYS_ON,四大家鱼,severity=中,鳄雀鳝
鳄雀鳝,PREYS_ON,小型哺乳动物,severity=中,鳄雀鳝
鳄雀鳝,PREYS_ON,小型哺乳动物,severity=高,鳄雀鳝
鳄雀鳝,PREYS_ON,巴西龟,severity=高,鳄雀鳝
鳄雀鳝,PREYS_ON,本土种,severity=高,鳄雀鳝
鳄雀鳝,PREYS_ON,本土鱼类,severity=高,鳄雀鳝
鳄雀鳝,PREYS_ON,水生昆虫,severity=高,鳄雀鳝
鳄雀鳝,PREYS_ON,水鸟,severity=中,鳄雀鳝
鳄雀鳝,PREYS_ON,甲壳动物,severity=中,鳄雀鳝
鳄雀鳝,PREYS_ON,甲壳动物,severity=高,鳄雀鳝
鳄雀鳝,PREYS_ON,罗非鱼,severity=高,鳄雀鳝
鳄雀鳝,PREYS_ON,腐肉,severity=低,鳄雀鳝
鳄雀鳝,PREYS_ON,蓝蟹,severity=中,鳄雀鳝
鳄雀鳝,PREYS_ON,锦鲤,severity=高,鳄雀鳝
鳄雀鳝,PREYS_ON,鱼类,severity=高,鳄雀鳝
鳄雀鳝,PREYS_ON,鸟类,severity=中,鳄雀鳝
鳄雀鳝,PREYS_ON,鸟类,severity=高,鳄雀鳝
鳄雀鳝,PREYS_ON,鸭鹅幼雏,severity=高,鳄雀鳝
鳄雀鳝,PREYS_ON,龟,severity=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,不丹,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,东南亚地区,confidence=高,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,中亚地区,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,中国各省份,confidence=高,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,中国多个省份,confidence=高,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,中美洲,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,中非共和国,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,丹麦,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,乌克兰,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,乌兹别克斯坦,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,乌干达,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,乌拉圭,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,乍得,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,也门,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,亚洲其他国家,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,亚美尼亚,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,以色列,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,伊拉克,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,伊朗,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,佛得角,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,俄罗斯,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,保加利亚,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,克罗地亚,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,全国,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,全国范围,confidence=高,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,全球其他地区,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,全球多地,confidence=高,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,冈比亚,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,冰岛,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,几内亚,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,几内亚比绍,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,列支敦士登,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,刚果共和国,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,刚果民主共和国,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,利比亚,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,利比里亚,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,加勒比地区,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,加拿大,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,加纳,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,加蓬,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,匈牙利,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,北美洲其他地区,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,北马其顿,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,华中地区,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,华南地区,confidence=高,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,华南地区,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,南亚地区,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,南极洲,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,南美洲,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,南苏丹,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,南非,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,博茨瓦纳,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,卡塔尔,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,卢旺达,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,卢森堡,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,印度,confidence=高,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,印度尼西亚,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,厄瓜多尔,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,厄立特里亚,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,叙利亚,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,台湾,confidence=高,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,吉尔吉斯斯坦,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,吉布提,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,哈萨克斯坦,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,哥伦比亚,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,喀麦隆,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,图瓦卢,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,土库曼斯坦,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,土耳其,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,圣多美和普林西比,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,圣赫勒拿,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,圣马力诺,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,圭亚那,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,地中海沿岸,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,坦桑尼亚,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,埃及,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,埃塞俄比亚,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,基里巴斯,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,塔吉克斯坦,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,塞内加尔,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,塞尔维亚,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,塞拉利昂,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,塞浦路斯,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,塞舌尔,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,墨西哥,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,墨西哥湾沿岸,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,多哥,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,大洋洲,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,奥地利,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,委内瑞拉,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,孟加拉国,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,安哥拉,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,安道尔,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,密克罗尼西亚联邦,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,密西西比河流域,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,尼日利亚,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,尼日尔,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,尼泊尔,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,巴勒斯坦,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,巴基斯坦,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,巴布亚新几内亚,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,巴拉圭,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,巴林,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,巴西,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,布基纳法索,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,布隆迪,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,希腊,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,帕劳,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,库克群岛,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,德国,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,恒河流域,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,意大利,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,所罗门群岛,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,托克劳,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,拉脱维亚,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,挪威,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,捷克,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,摩尔多瓦,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,摩洛哥,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,摩纳哥,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,斐济,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,斯威士兰,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,斯洛伐克,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,斯洛文尼亚,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,斯里兰卡,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,新加坡,confidence=高,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,新喀里多尼亚,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,新西兰,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,日本,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,智利,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,朝鲜,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,柬埔寨,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,根西岛,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,格陵兰,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,格鲁吉亚,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,梵蒂冈,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,欧洲,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,比利时,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,毛里塔尼亚,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,毛里求斯,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,汤加,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,沙特阿拉伯,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,法国,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,法属南部和南极领地,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,法属圭亚那,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,法属波利尼西亚,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,法罗群岛,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,波兰,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,波黑,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,泰国,confidence=高,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,泽西岛,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,津巴布韦,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,湄公河流域,confidence=中,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,澳大利亚,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,澳门,confidence=高,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,爱沙尼亚,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,玻利维亚,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,珠江流域,confidence=高,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,瑙鲁,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,瑞典,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,瑞士,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,瓦利斯和富图纳,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,瓦努阿图,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,留尼汪,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,白俄罗斯,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,皮特凯恩群岛,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,直布罗陀,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,科威特,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,科摩罗,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,科特迪瓦,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,秘鲁,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,突尼斯,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,立陶宛,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,索马里,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,约旦,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,纳米比亚,confidence=低,鳄雀鳝
鳄雀鳝,SPREAD_RISK_TO,纽埃,confidence=低,鳄雀鳝
