species,year,property,lat,lon,province,city,district,address,ext_path
大鳄龟,2025,year=2025;status=目击,39.947183,116.513616,北京市,北京市,朝阳区,北京市 朝阳区,北京市 北京市 朝阳区
福寿螺,,year=null;status=目击,26.05079,119.329546,福建省,福州市,仓山区,福建省 福州市 仓山区,福建省 福州市 仓山区
福寿螺,,year=null;status=目击,24.721457,118.158708,福建省,厦门市,同安区,福建省 厦门市 同安区,福建省 厦门市 同安区
福寿螺,,year=null;status=目击,22.553152,114.059004,广东省,深圳市,福田区,广东省 深圳市 福田区,广东省 深圳市 福田区
福寿螺,,year=null;status=目击,26.566419,106.704805,贵州省,贵阳市,南明区,贵州省 贵阳市 南明区,贵州省 贵阳市 南明区
福寿螺,,year=null;status=目击,23.23333,113.63333,广东省,广州市,增城区,广东省 广州市 增城区,广东省 广州市 增城区
福寿螺,,year=null;status=目击,39.912924,116.420658,北京市,北京市,东城区,北京市 东城区,北京市 北京市 东城区
福寿螺,,year=null;status=目击,30.504951,105.597827,四川省,遂宁市,船山区,四川省 遂宁市 船山区,四川省 遂宁市 船山区
福寿螺,,year=null;status=目击,22.470278,114.006389,香港特别行政区,,,香港特别行政区,香港特别行政区 香港特别行政区 香港特别行政区
福寿螺,,year=null;status=目击,30.246394,120.141845,浙江省,杭州市,西湖区,浙江省 杭州市 西湖区,浙江省 杭州市 西湖区
福寿螺,,year=null;status=目击,24.810008,110.430081,广西壮族自治区,桂林市,阳朔县,广西壮族自治区 桂林市 阳朔县,广西壮族自治区 桂林市 阳朔县
福寿螺,,year=null;status=目击,28.441054,117.952053,江西省,上饶市,信州区,江西省 上饶市 信州区,江西省 上饶市 信州区
福寿螺,,year=null;status=目击,22.513611,114.066389,香港特别行政区,,,香港特别行政区,香港特别行政区 香港特别行政区 香港特别行政区
福寿螺,,year=null;status=目击,25.809844,100.218839,云南省,大理白族自治州,大理市,云南省 大理白族自治州 大理市,云南省 大理白族自治州 大理市
福寿螺,,year=null;status=目击,25.394991,114.963676,江西省,赣州市,信丰县,江西省 赣州市 信丰县,江西省 赣州市 信丰县
福寿螺,,year=null;status=目击,24.31585,116.1376,广东省,梅州市,梅江区,广东省 梅州市 梅江区,广东省 梅州市 梅江区
福寿螺,,year=null;status=目击,21.664354,110.92509,广东省,茂名市,茂南区,广东省 茂名市 茂南区,广东省 茂名市 茂南区
福寿螺,,year=null;status=目击,22.76597,113.273855,广东省,佛山市,顺德区,广东省 佛山市 顺德区,广东省 佛山市 顺德区
福寿螺,,year=null;status=目击,24.880095,102.832892,云南省,昆明市,呈贡区,云南省 昆明市 呈贡区,云南省 昆明市 呈贡区
福寿螺,,year=null;status=目击,23.466664,111.297673,广西壮族自治区,梧州市,万秀区,广西壮族自治区 梧州市 万秀区,广西壮族自治区 梧州市 万秀区
福寿螺,,year=null;status=目击,20.044886,110.329531,海南省,海口市,龙华区,海南省 海口市 龙华区,海南省 海口市 龙华区
福寿螺,,year=null;status=目击,30.26993,120.19432,浙江省,杭州市,上城区,浙江省 杭州市 上城区,浙江省 杭州市 上城区
福寿螺,,year=null;status=目击,27.72,109.19,贵州省,铜仁市,碧江区,贵州省 铜仁市 碧江区,贵州省 铜仁市 碧江区
福寿螺,,year=null;status=目击,22.529495,103.939537,云南省,红河哈尼族彝族自治州,河口瑶族自治县,云南省 红河哈尼族彝族自治州 河口瑶族自治县,云南省 红河哈尼族彝族自治州 河口瑶族自治县
福寿螺,,year=null;status=目击,27.518172,120.425398,浙江省,温州市,苍南县,浙江省 温州市 苍南县,浙江省 温州市 苍南县
福寿螺,,year=null;status=目击,22.276014,113.580152,广东省,珠海市,香洲区,广东省 珠海市 香洲区,广东省 珠海市 香洲区
福寿螺,,year=null;status=目击,29.71,120.24,浙江省,绍兴市,诸暨市,浙江省 绍兴市 诸暨市,浙江省 绍兴市 诸暨市
福寿螺,,year=null;status=目击,30.010484,122.254174,浙江省,舟山市,普陀区,浙江省 舟山市 普陀区,浙江省 舟山市 普陀区
福寿螺,,year=null;status=目击,22.509167,114.111389,香港特别行政区,,,香港特别行政区,香港特别行政区 香港特别行政区 香港特别行政区
福寿螺,,year=null;status=目击,31.158202,120.737994,江苏省,苏州市,吴江区,江苏省 苏州市 吴江区,江苏省 苏州市 吴江区
福寿螺,,year=null;status=目击,28.407661,112.943595,湖南省,长沙市,望城区,湖南省 长沙市 望城区,湖南省 长沙市 望城区
福寿螺,,year=null;status=目击,29.97213,120.939155,浙江省,绍兴市,上虞区,浙江省 绍兴市 上虞区,浙江省 绍兴市 上虞区
福寿螺,,year=null;status=目击,24.789953,110.507818,广西壮族自治区,桂林市,阳朔县,广西壮族自治区 桂林市 阳朔县,广西壮族自治区 桂林市 阳朔县
福寿螺,,year=null;status=目击,25.096431,113.499229,广东省,韶关市,乐昌市,广东省 韶关市 乐昌市,广东省 韶关市 乐昌市
福寿螺,,year=null;status=目击,28.056626,120.563253,浙江省,温州市,鹿城区,浙江省 温州市 鹿城区,浙江省 温州市 鹿城区
福寿螺,,year=null;status=目击,29.976626,106.295027,重庆市,重庆城区,合川区,重庆市 重庆城区 合川区,重庆市 重庆城区 合川区
福寿螺,,year=null;status=目击,23.459794,115.821855,广东省,揭阳市,揭西县,广东省 揭阳市 揭西县,广东省 揭阳市 揭西县
福寿螺,,year=null;status=目击,32.51,120.19,江苏省,泰州市,姜堰区,江苏省 泰州市 姜堰区,江苏省 泰州市 姜堰区
福寿螺,,year=null;status=目击,31.18625,120.57604,江苏省,苏州市,吴中区,江苏省 苏州市 吴中区,江苏省 苏州市 吴中区
福寿螺,,year=null;status=目击,23.15,113.0167,广东省,佛山市,南海区,广东省 佛山市 南海区,广东省 佛山市 南海区
福寿螺,,year=null;status=目击,23.050687,112.464362,广东省,肇庆市,端州区,广东省 肇庆市 端州区,广东省 肇庆市 端州区
福寿螺,2012,year=2012;status=目击,22.505,114.114,香港特别行政区,,,香港特别行政区,香港特别行政区 香港特别行政区 香港特别行政区
福寿螺,2006,year=2006;status=目击,22.272091,114.149216,香港特别行政区,,,香港特别行政区,香港特别行政区 香港特别行政区 香港特别行政区
福寿螺,2006,year=2006;status=目击,22.422052,114.361244,香港特别行政区,,,香港特别行政区,香港特别行政区 香港特别行政区 香港特别行政区
福寿螺,,year=null;status=目击,22.448056,114.134167,香港特别行政区,,,香港特别行政区,香港特别行政区 香港特别行政区 香港特别行政区
福寿螺,,year=null;status=目击,22.415,114.070278,香港特别行政区,,,香港特别行政区,香港特别行政区 香港特别行政区 香港特别行政区
福寿螺,,year=null;status=目击,22.438611,114.061389,香港特别行政区,,,香港特别行政区,香港特别行政区 香港特别行政区 香港特别行政区
福寿螺,2026,year=2026;status=目击,24.903553,121.84505,台湾省,,,台湾省,台湾省
福寿螺,2024,year=2024;status=目击,23.531729,120.476123,台湾省,,,台湾省,台湾省
福寿螺,2024,year=2024;status=目击,22.495874,120.408459,台湾省,,,台湾省,台湾省
福寿螺,2023,year=2023;status=目击,22.903898,120.568176,台湾省,,,台湾省,台湾省
福寿螺,2023,year=2023;status=目击,23.680983,120.487617,台湾省,,,台湾省,台湾省
福寿螺,2023,year=2023;status=目击,23.630165,120.467371,台湾省,,,台湾省,台湾省
福寿螺,2023,year=2023;status=目击,23.562851,120.301261,台湾省,,,台湾省,台湾省
福寿螺,2023,year=2023;status=目击,23.630274,120.467695,台湾省,,,台湾省,台湾省
福寿螺,2023,year=2023;status=目击,23.630184,120.467573,台湾省,,,台湾省,台湾省
福寿螺,2023,year=2023;status=目击,23.605692,120.366511,台湾省,,,台湾省,台湾省
福寿螺,2023,year=2023;status=目击,23.731461,120.522881,台湾省,,,台湾省,台湾省
福寿螺,2023,year=2023;status=目击,23.680849,120.487918,台湾省,,,台湾省,台湾省
福寿螺,2023,year=2023;status=目击,23.731462,120.522882,台湾省,,,台湾省,台湾省
福寿螺,2023,year=2023;status=目击,23.680966,120.418832,台湾省,,,台湾省,台湾省
福寿螺,2023,year=2023;status=目击,23.731463,120.522883,台湾省,,,台湾省,台湾省
福寿螺,2023,year=2023;status=目击,23.699486,120.458808,台湾省,,,台湾省,台湾省
福寿螺,2023,year=2023;status=目击,24.779828,121.759044,台湾省,,,台湾省,台湾省
福寿螺,2023,year=2023;status=目击,24.699822,121.767212,台湾省,,,台湾省,台湾省
福寿螺,2023,year=2023;status=目击,23.467089,120.447921,台湾省,,,台湾省,台湾省
福寿螺,2023,year=2023;status=目击,23.467163,120.447904,台湾省,,,台湾省,台湾省
福寿螺,2023,year=2023;status=目击,22.534759,120.340864,台湾省,,,台湾省,台湾省
福寿螺,2023,year=2023;status=目击,22.537263,120.338303,台湾省,,,台湾省,台湾省
福寿螺,2023,year=2023;status=目击,23.531667,120.476007,台湾省,,,台湾省,台湾省
福寿螺,2023,year=2023;status=目击,22.539567,120.387197,台湾省,,,台湾省,台湾省
福寿螺,2023,year=2023;status=目击,22.702712,120.308312,台湾省,,,台湾省,台湾省
福寿螺,2023,year=2023;status=目击,22.7027,120.308326,台湾省,,,台湾省,台湾省
福寿螺,2023,year=2023;status=目击,23.53154,120.476281,台湾省,,,台湾省,台湾省
福寿螺,2022,year=2022;status=目击,23.832966,120.257658,台湾省,,,台湾省,台湾省
福寿螺,2022,year=2022;status=目击,23.785268,120.778792,台湾省,,,台湾省,台湾省
福寿螺,2022,year=2022;status=目击,23.18742,120.35323,台湾省,,,台湾省,台湾省
福寿螺,2022,year=2022;status=目击,23.630243,120.467623,台湾省,,,台湾省,台湾省
福寿螺,2021,year=2021;status=目击,24.00033,120.91659,台湾省,,,台湾省,台湾省
福寿螺,2021,year=2021;status=目击,23.98135,120.91831,台湾省,,,台湾省,台湾省
福寿螺,2021,year=2021;status=目击,24.06317,120.95486,台湾省,,,台湾省,台湾省
福寿螺,2021,year=2021;status=目击,24.19869,120.49596,台湾省,,,台湾省,台湾省
福寿螺,2021,year=2021;status=目击,23.93656,120.68072,台湾省,,,台湾省,台湾省
福寿螺,2021,year=2021;status=目击,24.02704,120.82695,台湾省,,,台湾省,台湾省
福寿螺,2021,year=2021;status=目击,24.11387,120.55732,台湾省,,,台湾省,台湾省
福寿螺,2021,year=2021;status=目击,24.02271,120.63682,台湾省,,,台湾省,台湾省
福寿螺,2021,year=2021;status=目击,24.07657,120.72541,台湾省,,,台湾省,台湾省
福寿螺,2021,year=2021;status=目击,24.16927,120.70553,台湾省,,,台湾省,台湾省
福寿螺,2021,year=2021;status=目击,24.13849,120.6197,台湾省,,,台湾省,台湾省
福寿螺,2021,year=2021;status=目击,24.1784,120.7378,台湾省,,,台湾省,台湾省
福寿螺,2021,year=2021;status=目击,24.19867,120.63522,台湾省,,,台湾省,台湾省
福寿螺,2021,year=2021;status=目击,24.13414,120.73938,台湾省,,,台湾省,台湾省
福寿螺,2021,year=2021;status=目击,24.08147,120.70878,台湾省,,,台湾省,台湾省
福寿螺,2021,year=2021;status=目击,24.0978,120.62405,台湾省,,,台湾省,台湾省
福寿螺,2021,year=2021;status=目击,24.23647,120.73536,台湾省,,,台湾省,台湾省
福寿螺,2021,year=2021;status=目击,24.15905,120.74417,台湾省,,,台湾省,台湾省
福寿螺,2020,year=2020;status=目击,23.95404,120.95858,台湾省,,,台湾省,台湾省
福寿螺,2020,year=2020;status=目击,24.00035,120.91671,台湾省,,,台湾省,台湾省
福寿螺,2020,year=2020;status=目击,23.93657,120.68072,台湾省,,,台湾省,台湾省
福寿螺,2020,year=2020;status=目击,24.02271,120.63683,台湾省,,,台湾省,台湾省
福寿螺,2019,year=2019;status=目击,23.76301,121.45642,台湾省,,,台湾省,台湾省
福寿螺,2019,year=2019;status=目击,23.78668,121.46196,台湾省,,,台湾省,台湾省
福寿螺,2019,year=2019;status=目击,23.76234,121.47218,台湾省,,,台湾省,台湾省
福寿螺,2019,year=2019;status=目击,22.91185,120.49284,台湾省,,,台湾省,台湾省
福寿螺,2019,year=2019;status=目击,22.89501,120.54881,台湾省,,,台湾省,台湾省
福寿螺,2019,year=2019;status=目击,24.5,121.8,台湾省,,,台湾省,台湾省
福寿螺,2019,year=2019;status=目击,22.91786,120.5718,台湾省,,,台湾省,台湾省
福寿螺,2018,year=2018;status=目击,23.87966,121.54204,台湾省,,,台湾省,台湾省
福寿螺,2018,year=2018;status=目击,25.0,121.9,台湾省,,,台湾省,台湾省
福寿螺,2018,year=2018;status=目击,23.73182,121.48957,台湾省,,,台湾省,台湾省
福寿螺,2015,year=2015;status=目击,23.09,120.14,台湾省,,,台湾省,台湾省
福寿螺,2015,year=2015;status=目击,23.17,120.26,台湾省,,,台湾省,台湾省
福寿螺,2015,year=2015;status=目击,23.19,120.48,台湾省,,,台湾省,台湾省
福寿螺,2015,year=2015;status=目击,23.08,120.48,台湾省,,,台湾省,台湾省
福寿螺,2015,year=2015;status=目击,23.12,120.38,台湾省,,,台湾省,台湾省
福寿螺,2015,year=2015;status=目击,23.11,120.2,台湾省,,,台湾省,台湾省
福寿螺,2015,year=2015;status=目击,23.11,120.48,台湾省,,,台湾省,台湾省
福寿螺,2015,year=2015;status=目击,23.09,120.51,台湾省,,,台湾省,台湾省
福寿螺,2015,year=2015;status=目击,23.08,120.5,台湾省,,,台湾省,台湾省
福寿螺,2009,year=2009;status=目击,23.21658,119.44265,台湾省,,,台湾省,台湾省
福寿螺,2009,year=2009;status=目击,23.21305,119.43679,台湾省,,,台湾省,台湾省
福寿螺,2009,year=2009;status=目击,23.55271,119.60657,台湾省,,,台湾省,台湾省
福寿螺,2008,year=2008;status=目击,24.79469,120.9162,台湾省,,,台湾省,台湾省
福寿螺,2008,year=2008;status=目击,24.44072,120.62576,台湾省,,,台湾省,台湾省
福寿螺,2008,year=2008;status=目击,24.67819,121.10023,台湾省,,,台湾省,台湾省
福寿螺,2008,year=2008;status=目击,24.69725,121.09652,台湾省,,,台湾省,台湾省
福寿螺,2008,year=2008;status=目击,24.90573,121.26672,台湾省,,,台湾省,台湾省
福寿螺,2008,year=2008;status=目击,24.96534,121.00729,台湾省,,,台湾省,台湾省
福寿螺,2008,year=2008;status=目击,24.69996,120.85869,台湾省,,,台湾省,台湾省
福寿螺,2008,year=2008;status=目击,24.66699,120.84369,台湾省,,,台湾省,台湾省
福寿螺,2008,year=2008;status=目击,24.6218,120.78686,台湾省,,,台湾省,台湾省
福寿螺,2008,year=2008;status=目击,24.52239,120.73364,台湾省,,,台湾省,台湾省
福寿螺,2008,year=2008;status=目击,24.48856,120.66789,台湾省,,,台湾省,台湾省
福寿螺,2008,year=2008;status=目击,24.76524,120.90401,台湾省,,,台湾省,台湾省
福寿螺,2008,year=2008;status=目击,24.34278,120.76286,台湾省,,,台湾省,台湾省
福寿螺,2008,year=2008;status=目击,24.76518,120.90404,台湾省,,,台湾省,台湾省
福寿螺,2008,year=2008;status=目击,24.83451,121.18739,台湾省,,,台湾省,台湾省
福寿螺,2008,year=2008;status=目击,24.94563,121.31056,台湾省,,,台湾省,台湾省
福寿螺,2008,year=2008;status=目击,24.84932,121.19763,台湾省,,,台湾省,台湾省
福寿螺,2008,year=2008;status=目击,24.87698,121.19464,台湾省,,,台湾省,台湾省
福寿螺,2008,year=2008;status=目击,24.9611,121.26928,台湾省,,,台湾省,台湾省
福寿螺,2008,year=2008;status=目击,24.97982,121.20929,台湾省,,,台湾省,台湾省
福寿螺,2007,year=2007;status=目击,25.02389,121.81955,台湾省,,,台湾省,台湾省
福寿螺,2007,year=2007;status=目击,23.189435,120.269039,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.73811,121.74526,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.792604,121.73984,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.741575,121.689031,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.756134,121.697614,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.682887,121.77328,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.741298,121.688456,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.756026,121.697505,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.738218,121.74534,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.715273,121.681701,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.644416,121.728503,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.660832,121.815813,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.796272,121.742947,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.656639,121.821614,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.754829,121.696836,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.758193,121.71654,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.744244,121.689837,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.654134,121.822289,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.753748,121.635373,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.756333,121.697645,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.737362,121.745118,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.758248,121.716392,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.793633,121.741705,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.65991,121.816064,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.758276,121.716372,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.668468,121.80948,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.753775,121.635393,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.756917,121.694287,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.756135,121.697476,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.758276,121.716342,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.796632,121.741397,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.656078,121.821788,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.668555,121.808532,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.714686,121.681727,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.774275,121.698892,台湾省,,,台湾省,台湾省
福寿螺,2006,year=2006;status=目击,24.75608,121.697594,台湾省,,,台湾省,台湾省
福寿螺,2005,year=2005;status=目击,24.644,121.751,台湾省,,,台湾省,台湾省
福寿螺,2005,year=2005;status=目击,24.6534,121.743,台湾省,,,台湾省,台湾省
福寿螺,2005,year=2005;status=目击,24.6962,121.789,台湾省,,,台湾省,台湾省
福寿螺,2005,year=2005;status=目击,24.6777,121.73,台湾省,,,台湾省,台湾省
福寿螺,2005,year=2005;status=目击,24.7002,121.741,台湾省,,,台湾省,台湾省
福寿螺,2005,year=2005;status=目击,24.6627,121.75,台湾省,,,台湾省,台湾省
福寿螺,2005,year=2005;status=目击,24.7595,121.708,台湾省,,,台湾省,台湾省
福寿螺,2005,year=2005;status=目击,24.7884,121.745,台湾省,,,台湾省,台湾省
福寿螺,2005,year=2005;status=目击,24.6982,121.824,台湾省,,,台湾省,台湾省
福寿螺,2005,year=2005;status=目击,24.649,121.798,台湾省,,,台湾省,台湾省
福寿螺,2005,year=2005;status=目击,24.7807,121.695,台湾省,,,台湾省,台湾省
福寿螺,2005,year=2005;status=目击,24.7197,121.818,台湾省,,,台湾省,台湾省
福寿螺,2005,year=2005;status=目击,24.6572,121.803,台湾省,,,台湾省,台湾省
福寿螺,2005,year=2005;status=目击,24.691,121.809,台湾省,,,台湾省,台湾省
福寿螺,2005,year=2005;status=目击,24.682,121.713,台湾省,,,台湾省,台湾省
福寿螺,2005,year=2005;status=目击,24.6862,121.719,台湾省,,,台湾省,台湾省
福寿螺,2005,year=2005;status=目击,24.7339,121.805,台湾省,,,台湾省,台湾省
福寿螺,2005,year=2005;status=目击,24.6981,121.825,台湾省,,,台湾省,台湾省
福寿螺,2005,year=2005;status=目击,24.6778,121.781,台湾省,,,台湾省,台湾省
福寿螺,2005,year=2005;status=目击,24.6859,121.798,台湾省,,,台湾省,台湾省
福寿螺,2005,year=2005;status=目击,24.7588,121.686,台湾省,,,台湾省,台湾省
福寿螺,2005,year=2005;status=目击,24.6705,121.8,台湾省,,,台湾省,台湾省
福寿螺,2005,year=2005;status=目击,24.702,121.742,台湾省,,,台湾省,台湾省
福寿螺,2005,year=2005;status=目击,24.6839,121.697,台湾省,,,台湾省,台湾省
福寿螺,2005,year=2005;status=目击,24.7431,121.793,台湾省,,,台湾省,台湾省
福寿螺,2005,year=2005;status=目击,24.7463,121.702,台湾省,,,台湾省,台湾省
福寿螺,2005,year=2005;status=目击,24.677,121.78,台湾省,,,台湾省,台湾省
福寿螺,2004,year=2004;status=目击,24.7214,121.825,台湾省,,,台湾省,台湾省
福寿螺,2004,year=2004;status=目击,24.7079,121.819,台湾省,,,台湾省,台湾省
福寿螺,2004,year=2004;status=目击,24.8183,121.813,台湾省,,,台湾省,台湾省
福寿螺,2004,year=2004;status=目击,24.763,121.74,台湾省,,,台湾省,台湾省
福寿螺,2004,year=2004;status=目击,24.6014,121.841,台湾省,,,台湾省,台湾省
福寿螺,2004,year=2004;status=目击,24.8267,121.766,台湾省,,,台湾省,台湾省
福寿螺,2004,year=2004;status=目击,24.837,121.775,台湾省,,,台湾省,台湾省
福寿螺,2004,year=2004;status=目击,24.4613,121.821,台湾省,,,台湾省,台湾省
福寿螺,2004,year=2004;status=目击,24.7179,121.824,台湾省,,,台湾省,台湾省
福寿螺,2004,year=2004;status=目击,24.7109,121.812,台湾省,,,台湾省,台湾省
福寿螺,2004,year=2004;status=目击,24.7147,121.743,台湾省,,,台湾省,台湾省
