species,title,url,query,chars,path
福寿螺,规范性文件 - 重庆市江津区人民政府,https://www.jiangjin.gov.cn/bm/qnyncw_69004/zwgk_81474/zfxxgkml/zcwj/gfxwj/202401/t20240122_12846736.html,福寿螺 发现 OR 捕获 site:gov.cn,8000,data\news_texts\福寿螺\010_规范性文件_-_重庆市江津区人民政府.txt
福寿螺,农作物病虫情报(2025年第8期):稻区福寿螺防治技术_广东省农业农村...,https://dara.gd.gov.cn/sjfb/nqyj/content/post_4703446.html,福寿螺 入侵 OR 泛滥 农业农村局,1327,data\news_texts\福寿螺\011_农作物病虫情报(2025年第8期)_稻区福寿螺防治技术_广东省农业农村.txt
福寿螺,公安县发现大量福寿螺 - - 荆州市农业农村局,http://nyj.jingzhou.gov.cn/hdjl_16/lxgs/index_614.shtml?id=20241,福寿螺 入侵 OR 泛滥 农业农村局,220,data\news_texts\福寿螺\012_公安县发现大量福寿螺_-_-_荆州市农业农村局.txt
福寿螺,江西省农业农村厅 超实用!福寿螺防控技术指南来了,https://nync.jiangxi.gov.cn/jxsnynct/zx12316/content/content_1940248068983824384.html,福寿螺 入侵 OR 泛滥 农业农村局,2829,data\news_texts\福寿螺\013_江西省农业农村厅_超实用!福寿螺防控技术指南来了.txt
福寿螺,四川省农业农村厅,https://nynct.sc.gov.cn/nynct/c100632/2024/6/7/2b742ed94532404bb20504a795398b49.shtml,福寿螺 入侵 OR 泛滥 农业农村局,725,data\news_texts\福寿螺\014_四川省农业农村厅.txt
福寿螺,中国农业农村信息网_内江市东兴区打响福寿螺歼灭战,https://www.agri.cn/zx/xxlb/sc/202406/t20240608_8641002.htm,福寿螺 入侵 OR 泛滥 农业农村局,1406,data\news_texts\福寿螺\015_中国农业农村信息网_内江市东兴区打响福寿螺歼灭战.txt
福寿螺,贵阳市多地出现大量福寿螺卵?省农业农村厅:鱼鸭“CP”已出动!,https://baijiahao.baidu.com/s?id=1801207536900425817&wfr=spider&for=pc,福寿螺 入侵 OR 泛滥 农业农村局,2065,data\news_texts\福寿螺\016_贵阳市多地出现大量福寿螺卵_省农业农村厅_鱼鸭“CP”已出动!.txt
福寿螺,...泸溪县持续开展“福寿螺”灭杀专项防控行动 - 湖南省农业农村厅,https://agri.hunan.gov.cn/agri/xxgk/gzdt/sxdt_1/202407/t20240730_33367343.html,福寿螺 入侵 OR 泛滥 农业农村局,973,data\news_texts\福寿螺\017_泸溪县持续开展“福寿螺”灭杀专项防控行动_-_湖南省农业农村厅.txt
福寿螺,“一只螺”引发的农田保卫战,https://baijiahao.baidu.com/s?id=1840938611822301986&wfr=spider&for=pc,福寿螺 入侵 OR 泛滥 农业农村局,3062,data\news_texts\福寿螺\018_“一只螺”引发的农田保卫战.txt
福寿螺,福寿螺 现身 OR 抓获 新闻 - 视频大全 - 高清在线观看,https://www.baidu.com/sf/vsearch?pd=video&wd=%E7%A6%8F%E5%AF%BF%E8%9E%BA%20%E7%8E%B0%E8%BA%AB%20OR%20%E6%8A%93%E8%8E%B7%20%E6%96%B0%E9%97%BB&tn=vsearch&lid=f3cde9e30003621a&ie=utf-8&rsv_pq=f3cde9e30003621a&rsv_spt=5&rsv_bp=1&f=8&atn=index,福寿螺 现身 OR 抓获 新闻,593,data\news_texts\福寿螺\019_福寿螺_现身_OR_抓获_新闻_-_视频大全_-_高清在线观看.txt
福寿螺,"野性贵州 有问必答丨“粉红女郎”现身贵阳,不要随意食用它!",https://movement.gzstv.com/news/detail/RpEpE/,福寿螺 现身 OR 抓获 新闻,2268,"data\news_texts\福寿螺\020_野性贵州_有问必答丨“粉红女郎”现身贵阳,不要随意食用它!.txt"
福寿螺,公园遭福寿螺入侵 有市民捕捞玩耍 专家:勿触摸,https://baijiahao.baidu.com/s?id=1739781919465514378&wfr=spider&for=pc,福寿螺 现身 OR 抓获 新闻,2013,data\news_texts\福寿螺\021_公园遭福寿螺入侵_有市民捕捞玩耍_专家_勿触摸.txt
福寿螺,10分钟五波导弹、福寿螺惊现、歼六现身废品站:一周全球热点速览,https://baijiahao.baidu.com/s?id=1861658301860761017&wfr=spider&for=pc,福寿螺 现身 OR 抓获 新闻,1475,data\news_texts\福寿螺\022_10分钟五波导弹、福寿螺惊现、歼六现身废品站_一周全球热点速览.txt
福寿螺,#武汉一公园连夜清出130多斤福寿螺# 一只... 来自武汉发布 - 微博,https://weibo.com/2759348142/PzEb3nOl7,福寿螺 现身 OR 抓获 新闻,403,data\news_texts\福寿螺\023_#武汉一公园连夜清出130多斤福寿螺#_一只..._来自武汉发布_-_微博.txt
福寿螺,福寿螺卵现身公园池塘边|中安在线池州频道|新闻中心,http://ah.anhuinews.com/cz/news/202306/t20230630_6942456.html,福寿螺 现身 OR 抓获 新闻,893,data\news_texts\福寿螺\024_福寿螺卵现身公园池塘边_中安在线池州频道_新闻中心.txt
鳄雀鳝,规范性文件 - 重庆市江津区人民政府,https://www.jiangjin.gov.cn/bm/qnyncw_69004/zwgk_81474/zfxxgkml/zcwj/gfxwj/202401/t20240122_12846736.html,鳄雀鳝 发现 OR 捕获 site:gov.cn,8000,data\news_texts\鳄雀鳝\007_规范性文件_-_重庆市江津区人民政府.txt
鳄雀鳝,围剿鳄雀鳝:这种危险物种有望列入我国外来入侵物种名录 | 界面新闻,https://m.jiemian.com/article/7992842.html,鳄雀鳝 入侵 OR 泛滥 农业农村局,2518,data\news_texts\鳄雀鳝\008_围剿鳄雀鳝_这种危险物种有望列入我国外来入侵物种名录___界面新闻.txt
鳄雀鳝,扶绥县农业农村局开展外来物种鳄雀鳝执法监管处置 - 部...-中国扶绥,http://www.fusui.gov.cn/xxgk/bmdt/t13069506.shtml,鳄雀鳝 入侵 OR 泛滥 农业农村局,714,data\news_texts\鳄雀鳝\009_扶绥县农业农村局开展外来物种鳄雀鳝执法监管处置_-_部...-中国扶绥.txt
鳄雀鳝,"广州一社区公园封闭水域内发现鳄雀鳝,农业农村局:已无公害化处理",https://baijiahao.baidu.com/s?id=1784434861285171051&wfr=spider&for=pc,鳄雀鳝 入侵 OR 泛滥 农业农村局,1425,"data\news_texts\鳄雀鳝\010_广州一社区公园封闭水域内发现鳄雀鳝,农业农村局_已无公害化处理.txt"
鳄雀鳝,"“网红”鳄雀鳝遭“全国围捕” 防治外来入侵物种,不能“一抓了事”",https://baijiahao.baidu.com/s?id=1743901784674722146&wfr=spider&for=pc,鳄雀鳝 入侵 OR 泛滥 农业农村局,2636,"data\news_texts\鳄雀鳝\011_“网红”鳄雀鳝遭“全国围捕”_防治外来入侵物种,不能“一抓了事”.txt"
鳄雀鳝,国家重点管理外来入侵物种 —— 水生动物专题介绍,https://mp.weixin.qq.com/s?__biz=MzU5MjUxOTE5OQ==&mid=2247517644&idx=5&sn=fc0b8ad26506a18a99614571a64604d3&chksm=ffee56028a82c6de5d91489298d16d352151bec3409e000ef82769fe05d93bba4607ce3532b3&scene=27,鳄雀鳝 入侵 OR 泛滥 农业农村局,4822,data\news_texts\鳄雀鳝\012_国家重点管理外来入侵物种_——_水生动物专题介绍.txt
鳄雀鳝,[超级新闻场]多地发现鳄雀鳝 多地农业部门开展外来入侵物种普查,https://m.app.cctv.com/vsetv/detail/C10140/72897b55ad4f43a1beb2f9d04518490e/index.shtml,鳄雀鳝 入侵 OR 泛滥 农业农村局,583,data\news_texts\鳄雀鳝\013_[超级新闻场]多地发现鳄雀鳝_多地农业部门开展外来入侵物种普查.txt
鳄雀鳝,鳄雀鳝 现身 OR 抓获 新闻 - 视频大全 - 高清在线观看,https://www.baidu.com/sf/vsearch?pd=video&wd=%E9%B3%84%E9%9B%80%E9%B3%9D%20%E7%8E%B0%E8%BA%AB%20OR%20%E6%8A%93%E8%8E%B7%20%E6%96%B0%E9%97%BB&tn=vsearch&lid=937d0f5607ced20b&ie=utf-8&rsv_pq=937d0f5607ced20b&rsv_spt=5&rsv_bp=1&f=8&atn=index,鳄雀鳝 现身 OR 抓获 新闻,656,data\news_texts\鳄雀鳝\014_鳄雀鳝_现身_OR_抓获_新闻_-_视频大全_-_高清在线观看.txt
鳄雀鳝,[中国新闻]广东:池塘现“水中杀手”鳄雀鳝 众人合力捕捉,https://m.app.cctv.com/vsetv/detail/C10336/60be13ab1a614fa0b5f200331d7867b2/index.shtml,鳄雀鳝 现身 OR 抓获 新闻,580,data\news_texts\鳄雀鳝\015_[中国新闻]广东_池塘现“水中杀手”鳄雀鳝_众人合力捕捉.txt
鳄雀鳝,[新闻直播间]广东广州 白云湖外来物种鳄雀鳝已成功捕获,https://m.app.cctv.com/vsetv/detail/C10616/83e4233a83da41c487087438d186bd79/index.shtml,鳄雀鳝 现身 OR 抓获 新闻,579,data\news_texts\鳄雀鳝\016_[新闻直播间]广东广州_白云湖外来物种鳄雀鳝已成功捕获.txt
鳄雀鳝,"楼下河道藏着“怪鱼”!广州男子捉到“变异鳄雀鳝”,全身金黄色",https://baijiahao.baidu.com/s?id=1852031586382491778&wfr=spider&for=pc,鳄雀鳝 现身 OR 抓获 新闻,276,"data\news_texts\鳄雀鳝\017_楼下河道藏着“怪鱼”!广州男子捉到“变异鳄雀鳝”,全身金黄色.txt"
鳄雀鳝,13岁女孩在凌水水库发现鳄雀鳝!相关单位:将对其进行无害化处理,https://baijiahao.baidu.com/s?id=1859535822355744034&wfr=spider&for=pc,鳄雀鳝 现身 OR 抓获 新闻,276,data\news_texts\鳄雀鳝\018_13岁女孩在凌水水库发现鳄雀鳝!相关单位_将对其进行无害化处理.txt
鳄雀鳝,"体长一米,牙齿锋利!外来“怪鱼”现身长沙,或将威胁水域生物?专家...",https://m.gmw.cn/2025-05/08/content_1304031707.htm,鳄雀鳝 现身 OR 抓获 新闻,3663,"data\news_texts\鳄雀鳝\019_体长一米,牙齿锋利!外来“怪鱼”现身长沙,或将威胁水域生物_专家.txt"
豹纹翼甲鲶,包头市人民政府办公室关于印发包头市农业生物灾害应急预案的通知...,https://www.baotou.gov.cn/zfxxgk/zfgb/zfgb_2025/2025dssq/202510/t20251014_678321.html,豹纹翼甲鲶 发现 OR 捕获 site:gov.cn,274,data\news_texts\豹纹翼甲鲶\001_包头市人民政府办公室关于印发包头市农业生物灾害应急预案的通知.txt
豹纹翼甲鲶,"春天到了,外来入侵生物苏醒了!专家教你辨别防治",https://baijiahao.baidu.com/s?id=1863083460164027683&wfr=spider&for=pc,豹纹翼甲鲶 入侵 OR 泛滥 农业农村局,276,"data\news_texts\豹纹翼甲鲶\002_春天到了,外来入侵生物苏醒了!专家教你辨别防治.txt"
豹纹翼甲鲶,专家教你辨别防治外来入侵生物,https://baijiahao.baidu.com/s?id=1863128549592923118&wfr=spider&for=pc,豹纹翼甲鲶 入侵 OR 泛滥 农业农村局,276,data\news_texts\豹纹翼甲鲶\003_专家教你辨别防治外来入侵生物.txt
豹纹翼甲鲶,农业农村部 自然资源部 生态环境部 住房和城乡建设部 海关总署...,https://fgs.moa.gov.cn/flfg/202211/t20221109_6415160.htm,豹纹翼甲鲶 入侵 OR 泛滥 农业农村局,3173,data\news_texts\豹纹翼甲鲶\004_农业农村部_自然资源部_生态环境部_住房和城乡建设部_海关总署.txt
豹纹翼甲鲶,广西百色查处国内首起未经批准擅自释放外来物种案-今日头条-手机...,https://m.gmw.cn/toutiao/2023-03/29/content_36463343.htm,豹纹翼甲鲶 入侵 OR 泛滥 农业农村局,952,data\news_texts\豹纹翼甲鲶\005_广西百色查处国内首起未经批准擅自释放外来物种案-今日头条-手机.txt
豹纹翼甲鲶,"热搜!男子为祈福买6斤“清道夫”水库放生,官方:罚2.8万,7天内全捞...",https://baijiahao.baidu.com/s?id=1745404183372670480&wfr=spider&for=pc,豹纹翼甲鲶 入侵 OR 泛滥 农业农村局,276,"data\news_texts\豹纹翼甲鲶\006_热搜!男子为祈福买6斤“清道夫”水库放生,官方_罚2.8万,7天内全捞.txt"
豹纹翼甲鲶,中国水产研究院珠江水产研究所到我市开展外来入侵物种防控工作,https://baijiahao.baidu.com/s?id=1816417748402884002&wfr=spider&for=pc,豹纹翼甲鲶 入侵 OR 泛滥 农业农村局,276,data\news_texts\豹纹翼甲鲶\007_中国水产研究院珠江水产研究所到我市开展外来入侵物种防控工作.txt
豹纹翼甲鲶,别放别吃别踩别扔 专家教你辨别防治外来入侵生物,http://sc.people.com.cn/n2/2026/0422/c345167-41559344.html,豹纹翼甲鲶 入侵 OR 泛滥 农业农村局,2312,data\news_texts\豹纹翼甲鲶\008_别放别吃别踩别扔_专家教你辨别防治外来入侵生物.txt
豹纹翼甲鲶,三分钟识别外来入侵物种—豹纹翼甲鲶、长刺蒺藜草,https://mp.weixin.qq.com/s?__biz=MzI1OTM2Mzg1OA==&mid=2247488995&idx=1&sn=95e96cedabf237e3cf7bc399ec0704fa&chksm=eba590f158f1fc203ccd38f4d82cc2872d0dd6f15ce5bbc7ef37a162697b91bfc2eabec93834&scene=27,豹纹翼甲鲶 入侵 OR 泛滥 农业农村局,439,data\news_texts\豹纹翼甲鲶\009_三分钟识别外来入侵物种—豹纹翼甲鲶、长刺蒺藜草.txt
豹纹翼甲鲶,百色查处国内首起未经批准擅自释放外来物种案_央广网,https://gx.cnr.cn/cnrgx/jingjishenghuo/20230329/t20230329_526199385.shtml,豹纹翼甲鲶 现身 OR 抓获 新闻,1006,data\news_texts\豹纹翼甲鲶\010_百色查处国内首起未经批准擅自释放外来物种案_央广网.txt
豹纹翼甲鲶,昌江开展“清道夫”集中扑杀行动 守护水域生态安全_昌江动态_昌江...,https://changjiang.hnzhengfa.gov.cn/news/cjdt/show-9398.html,豹纹翼甲鲶 现身 OR 抓获 新闻,284,data\news_texts\豹纹翼甲鲶\011_昌江开展“清道夫”集中扑杀行动_守护水域生态安全_昌江动态_昌江.txt
豹纹翼甲鲶,"一男子放生6斤清道夫被处罚,海口一小区水池出现疑似放生“怪鱼...",https://www.hnzhengfa.gov.cn/news/yianshuofa/show-54806.html,豹纹翼甲鲶 现身 OR 抓获 新闻,277,"data\news_texts\豹纹翼甲鲶\012_一男子放生6斤清道夫被处罚,海口一小区水池出现疑似放生“怪鱼.txt"
豹纹翼甲鲶,"热搜!男子为祈福买6斤“清道夫”水库放生,官方:罚2.8万,7天内全捞出来...",https://www.nbd.com.cn/articles/2022-09-30/2487862.html,豹纹翼甲鲶 现身 OR 抓获 新闻,2542,"data\news_texts\豹纹翼甲鲶\013_热搜!男子为祈福买6斤“清道夫”水库放生,官方_罚2.8万,7天内全捞出来.txt"
豹纹翼甲鲶,典型外来入侵水生生物 鳄雀鳝、豹纹翼甲鲶(清道夫),https://www.ngx.net.cn/zxjyn/nkjt/xgzy/202604/t20260403_246418.html,豹纹翼甲鲶 现身 OR 抓获 新闻,424,data\news_texts\豹纹翼甲鲶\014_典型外来入侵水生生物_鳄雀鳝、豹纹翼甲鲶(清道夫).txt
豹纹翼甲鲶,豹纹翼甲鲶 - 百度百科,https://baike.baidu.com/item/%E8%B1%B9%E7%BA%B9%E7%BF%BC%E7%94%B2%E9%B2%B6/7673567?fr=aladdin,豹纹翼甲鲶 现身 OR 抓获 新闻,1760,data\news_texts\豹纹翼甲鲶\015_豹纹翼甲鲶_-_百度百科.txt
豹纹翼甲鲶,别放别吃别踩别扔 专家教你辨别防治外来入侵生物--中国环境,https://www.cenews.com.cn/news.html?aid=1781534,豹纹翼甲鲶 现身 OR 抓获 新闻,1959,data\news_texts\豹纹翼甲鲶\016_别放别吃别踩别扔_专家教你辨别防治外来入侵生物--中国环境.txt
豹纹翼甲鲶,三分钟识别外来入侵物种生态破坏者豹纹... 来自三农头条 - 微博,https://weibo.com/7771363189/5159366115724465,豹纹翼甲鲶 现身 OR 抓获 新闻,403,data\news_texts\豹纹翼甲鲶\017_三分钟识别外来入侵物种生态破坏者豹纹..._来自三农头条_-_微博.txt
齐氏罗非鱼,齐氏罗非鱼防治新技术效果显著 - 质量安全 - 邢台市农业农村局,https://nync.xingtai.gov.cn/news_show.aspx?id=5656,齐氏罗非鱼 发现 OR 捕获 site:gov.cn,1689,data\news_texts\齐氏罗非鱼\001_齐氏罗非鱼防治新技术效果显著_-_质量安全_-_邢台市农业农村局.txt
齐氏罗非鱼,规范性文件 - 重庆市江津区人民政府,http://www.jiangjin.gov.cn/bm/qnyncw_69004/zwgk_81474/zfxxgkml/zcwj/gfxwj/202401/t20240122_12846736.html,齐氏罗非鱼 发现 OR 捕获 site:gov.cn,8000,data\news_texts\齐氏罗非鱼\002_规范性文件_-_重庆市江津区人民政府.txt
齐氏罗非鱼,包头市人民政府办公室关于印发包头市农业生物灾害应急预案的通知...,https://www.baotou.gov.cn/zfxxgk/zfgb/zfgb_2025/2025dssq/202510/t20251014_678321.html,齐氏罗非鱼 发现 OR 捕获 site:gov.cn,8000,data\news_texts\齐氏罗非鱼\003_包头市人民政府办公室关于印发包头市农业生物灾害应急预案的通知.txt
齐氏罗非鱼,浙江省省长刘捷-领导留言板-人民网,https://liuyan.people.com.cn/threads/content?tid=20867129,齐氏罗非鱼 入侵 OR 泛滥 农业农村局,687,data\news_texts\齐氏罗非鱼\004_浙江省省长刘捷-领导留言板-人民网.txt
齐氏罗非鱼,跨省追踪“水下入侵者”!eDNA发现:这些“不速之客”威胁不小!,https://export.shobserver.com/baijiahao/html/964794.html,齐氏罗非鱼 入侵 OR 泛滥 农业农村局,1359,data\news_texts\齐氏罗非鱼\005_跨省追踪“水下入侵者”!eDNA发现_这些“不速之客”威胁不小!.txt
齐氏罗非鱼,农业农村部 自然资源部 生态环境部 住房和城乡建设部 海关总署...,https://fgs.moa.gov.cn/flfg/202211/t20221109_6415160.htm,齐氏罗非鱼 入侵 OR 泛滥 农业农村局,3173,data\news_texts\齐氏罗非鱼\006_农业农村部_自然资源部_生态环境部_住房和城乡建设部_海关总署.txt
齐氏罗非鱼,南京河流发现成群齐氏罗非鱼鱼苗!这种性情凶猛的热带鱼已扎根繁殖?,https://baijiahao.baidu.com/s?id=1838950117298287963&wfr=spider&for=pc,齐氏罗非鱼 入侵 OR 泛滥 农业农村局,276,data\news_texts\齐氏罗非鱼\007_南京河流发现成群齐氏罗非鱼鱼苗!这种性情凶猛的热带鱼已扎根繁殖.txt
齐氏罗非鱼,齐氏罗非鱼(一种鱼类) - 百度百科,https://baike.baidu.com/item/%E9%BD%90%E6%B0%8F%E7%BD%97%E9%9D%9E%E9%B1%BC/62469803,齐氏罗非鱼 入侵 OR 泛滥 农业农村局,3909,data\news_texts\齐氏罗非鱼\008_齐氏罗非鱼(一种鱼类)_-_百度百科.txt
齐氏罗非鱼,"福州一河道罗非鱼“泛滥”,当地集中捕捞能否根治?为何这种鱼如此...",https://baijiahao.baidu.com/s?id=1862724554267473133&wfr=spider&for=pc,齐氏罗非鱼 入侵 OR 泛滥 农业农村局,276,"data\news_texts\齐氏罗非鱼\009_福州一河道罗非鱼“泛滥”,当地集中捕捞能否根治_为何这种鱼如此.txt"
齐氏罗非鱼,防范外来物种入侵丨生性凶猛的齐氏罗非鱼,https://mp.weixin.qq.com/s?__biz=MzI2NDk0MDA3Nw==&mid=2247513532&idx=4&sn=47e8decccf27582fe39d66aa02702aed&chksm=eaa60afeddd183e834e63bde16a9587ab23a98a404d246779237d653f57d528d750b989c88ef&scene=27,齐氏罗非鱼 入侵 OR 泛滥 农业农村局,1441,data\news_texts\齐氏罗非鱼\010_防范外来物种入侵丨生性凶猛的齐氏罗非鱼.txt
齐氏罗非鱼,市畜牧水产所积极参与阳明湖齐氏罗非鱼监测防控和灭除工作,https://mp.weixin.qq.com/s?__biz=MzA3NzkxMzI1Nw==&mid=2650006053&idx=4&sn=b2316c4952033ce627f3e72cff79dc47&chksm=874d8fe3b03a06f507f754a8c16c4b0886a1e035d98aee4cf5ad61488586f43c8b3ea5e91a0b&scene=27,齐氏罗非鱼 入侵 OR 泛滥 农业农村局,734,data\news_texts\齐氏罗非鱼\011_市畜牧水产所积极参与阳明湖齐氏罗非鱼监测防控和灭除工作.txt
齐氏罗非鱼,官方介入调查!桥北发现生性凶猛的外来物种!已经成功扎根并开始...,https://mp.weixin.qq.com/s?__biz=MzA3NDg0ODEwOA==&mid=2650849197&idx=2&sn=f86b019cd442eaf76cdd8f637904e304&chksm=853c975aa94a8bc7e298ac6a20084526b1875dd246813e185b49e6feeb940a18522255702c29&scene=27,齐氏罗非鱼 现身 OR 抓获 新闻,619,data\news_texts\齐氏罗非鱼\012_官方介入调查!桥北发现生性凶猛的外来物种!已经成功扎根并开始.txt
齐氏罗非鱼,南京河流惊现成群齐氏罗非鱼鱼...@无人取代的我的动态,https://mbd.baidu.com/newspage/data/dtlandingsuper?nid=dt_5198702409675354061,齐氏罗非鱼 现身 OR 抓获 新闻,634,data\news_texts\齐氏罗非鱼\013_南京河流惊现成群齐氏罗非鱼鱼...@无人取代的我的动态.txt
齐氏罗非鱼,跨省追踪“水下入侵者”!eDNA发现:这些“不速之客”威胁不小!,https://www.jfdaily.com/wx/detail.do?id=964794,齐氏罗非鱼 现身 OR 抓获 新闻,1404,data\news_texts\齐氏罗非鱼\014_跨省追踪“水下入侵者”!eDNA发现_这些“不速之客”威胁不小!.txt
齐氏罗非鱼,"新品种?云南男子钓到古怪配色的罗非鱼,鱼鳞闪烁腹部艳红,网友:没...",https://baijiahao.baidu.com/s?id=1840231449763528476&wfr=spider&for=pc,齐氏罗非鱼 现身 OR 抓获 新闻,2145,"data\news_texts\齐氏罗非鱼\015_新品种_云南男子钓到古怪配色的罗非鱼,鱼鳞闪烁腹部艳红,网友_没.txt"
齐氏罗非鱼,齐氏罗非鱼 现身 OR 抓获 新闻 - 视频大全 - 高清在线观看,https://www.baidu.com/sf/vsearch?pd=video&wd=%E9%BD%90%E6%B0%8F%E7%BD%97%E9%9D%9E%E9%B1%BC%20%E7%8E%B0%E8%BA%AB%20OR%20%E6%8A%93%E8%8E%B7%20%E6%96%B0%E9%97%BB&tn=vsearch&lid=9f40b9e9016a30b2&ie=utf-8&rsv_pq=9f40b9e9016a30b2&rsv_spt=5&rsv_bp=1&f=8&atn=index,齐氏罗非鱼 现身 OR 抓获 新闻,1520,data\news_texts\齐氏罗非鱼\016_齐氏罗非鱼_现身_OR_抓获_新闻_-_视频大全_-_高清在线观看.txt
齐氏罗非鱼,翠湖罗非鱼泛滥 专业团队开展捕捞,https://ccwb.yunnan.cn/pad/content/202509/18/content_279727.html,齐氏罗非鱼 现身 OR 抓获 新闻,629,data\news_texts\齐氏罗非鱼\017_翠湖罗非鱼泛滥_专业团队开展捕捞.txt
齐氏罗非鱼,外来入侵水生物种普查:广西一天然水库捕获物94%为罗非鱼 - 百度知道,https://zhidao.baidu.com/question/1704298408441254548.html,齐氏罗非鱼 现身 OR 抓获 新闻,1739,data\news_texts\齐氏罗非鱼\018_外来入侵水生物种普查_广西一天然水库捕获物94%为罗非鱼_-_百度知道.txt
齐氏罗非鱼,"广西一天然水库捕获物94%为罗非鱼,为何这么多?是如何入侵的?_物种...",https://news.sohu.com/a/939062594_122181282,齐氏罗非鱼 现身 OR 抓获 新闻,1372,"data\news_texts\齐氏罗非鱼\019_广西一天然水库捕获物94%为罗非鱼,为何这么多_是如何入侵的__物种.txt"
齐氏罗非鱼,#南京河流惊现入侵鱼种齐氏罗非鱼#去年... 来自镇江市生态环境局...,https://weibo.com/1593436424/PDjJ2wlhQ,齐氏罗非鱼 现身 OR 抓获 新闻,403,data\news_texts\齐氏罗非鱼\020_#南京河流惊现入侵鱼种齐氏罗非鱼#去年..._来自镇江市生态环境局.txt
美洲牛蛙,农业农村部 自然资源部 生态环境部 住房和城乡建设部 海关总署...,https://www.huade.gov.cn/bmxxgk26/1358425.html,美洲牛蛙 发现 OR 捕获 site:gov.cn,2442,data\news_texts\美洲牛蛙\001_农业农村部_自然资源部_生态环境部_住房和城乡建设部_海关总署.txt
美洲牛蛙,农业农村部自然资源部生态环境部住房和城乡建设部海关总署国家林...,https://www.baqiao.gov.cn/zwgk/hnfw/63a91a5df8fd1c4c2132740e.html,美洲牛蛙 发现 OR 捕获 site:gov.cn,2425,data\news_texts\美洲牛蛙\002_农业农村部自然资源部生态环境部住房和城乡建设部海关总署国家林.txt
