species,Entity1,Relationship,Entity2,Property
福寿螺,福寿螺,REPORTED_IN,美国加利福尼亚州圣地亚哥县,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,美国加利福尼亚州米拉玛湖,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,美国加利福尼亚州索尔顿湖,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,美国加利福尼亚州莫雷湖,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,美国加利福尼亚州里弗赛德县,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,美国北卡罗来纳州罗京安县,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,美国印第安纳州瓦沃西湖,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,美国印第安纳州科修斯科县,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,美国夏威夷州,year=1989;status=引入
福寿螺,福寿螺,REPORTED_IN,美国夏威夷州夏威夷大岛,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,美国夏威夷州拉拿夷岛,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,美国夏威夷州毛伊岛,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,美国夏威夷州瓦胡岛,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,美国夏威夷州考爱岛,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,美国爱达荷州斯内克河,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,美国爱达荷州特温福尔斯县,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,老挝,year=1991;status=引入
福寿螺,福寿螺,REPORTED_IN,老挝万象市西可哈塔奉区,year=1991;status=引入
福寿螺,福寿螺,REPORTED_IN,肯尼亚,year=2020;status=发现
福寿螺,福寿螺,REPORTED_IN,菲律宾,year=1982;status=引入
福寿螺,福寿螺,REPORTED_IN,越南,year=1988;status=引入
福寿螺,福寿螺,REPORTED_IN,越南建江省,year=1992;status=养殖逃逸
福寿螺,福寿螺,REPORTED_IN,越南胡志明市,year=1992;status=养殖逃逸
福寿螺,福寿螺,REPORTED_IN,重庆市,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,阿根廷布宜诺斯艾利斯省Paso de las Piedras水库,year=null;status=最南记录
福寿螺,福寿螺,REPORTED_IN,韩国,year=1983;status=引入
福寿螺,福寿螺,REPORTED_IN,韩国全罗南道康津郡,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,韩国全罗南道海南郡,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,韩国容州市,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,韩国尚州市,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,韩国忠清南道牙山市,year=1983;status=引入
福寿螺,福寿螺,REPORTED_IN,韩国舒川郡,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,韩国论山市,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,马来西亚,year=1991;status=发现
福寿螺,福寿螺,REPORTED_IN,马来西亚雪兰莪梳邦,year=1991;status=发现
红耳彩龟,巴西龟,REPORTED_IN,中国,year=null;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,Angitola湖,year=null;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,Cres岛,year=2019;status=首次记录
红耳彩龟,红耳彩龟,REPORTED_IN,三亚市,year=2026;status=提及
红耳彩龟,红耳彩龟,REPORTED_IN,上海市,year=null;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,中国,year=null;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,中国,year=1980;status=引入
红耳彩龟,红耳彩龟,REPORTED_IN,中国,year=null;status=泛滥
红耳彩龟,红耳彩龟,REPORTED_IN,中国大陆,year=1980年代;status=引进
红耳彩龟,红耳彩龟,REPORTED_IN,乌格拉塔拉德瓦拉亚寺池塘,year=2018;status=发现
红耳彩龟,红耳彩龟,REPORTED_IN,云南省,year=null;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,亚洲,year=null;status=广泛分布
红耳彩龟,红耳彩龟,REPORTED_IN,以色列,year=null;status=有野化种群
红耳彩龟,红耳彩龟,REPORTED_IN,伊利诺伊州,year=null;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,佛罗里达州,year=null;status=禁止销售野生型
红耳彩龟,红耳彩龟,REPORTED_IN,俄罗斯,year=null;status=有野化种群
红耳彩龟,红耳彩龟,REPORTED_IN,全国,year=null;status=泛滥
红耳彩龟,红耳彩龟,REPORTED_IN,全国大部分省自治区直辖市,year=null;status=有养殖
红耳彩龟,红耳彩龟,REPORTED_IN,关岛,year=null;status=有野化种群
红耳彩龟,红耳彩龟,REPORTED_IN,加拿大,year=null;status=有野化种群
红耳彩龟,红耳彩龟,REPORTED_IN,北京市,year=null;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,北京市,year=2025;status=查获
红耳彩龟,红耳彩龟,REPORTED_IN,华南地区,year=null;status=提及
红耳彩龟,红耳彩龟,REPORTED_IN,南宁市,year=null;status=查获
红耳彩龟,红耳彩龟,REPORTED_IN,南方地区,year=null;status=泛滥
红耳彩龟,红耳彩龟,REPORTED_IN,南非,year=null;status=有野化种群
红耳彩龟,红耳彩龟,REPORTED_IN,印度东北部,year=null;status=有入侵风险
红耳彩龟,红耳彩龟,REPORTED_IN,台湾省,year=null;status=有野化种群
红耳彩龟,红耳彩龟,REPORTED_IN,台湾省,year=null;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,台湾省,year=null;status=已入侵并形成庞大族群
红耳彩龟,红耳彩龟,REPORTED_IN,台湾省,year=null;status=发现
红耳彩龟,红耳彩龟,REPORTED_IN,夏威夷,year=null;status=有野化种群
红耳彩龟,红耳彩龟,REPORTED_IN,多地,year=null;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,如皋市,year=2025;status=提及
红耳彩龟,红耳彩龟,REPORTED_IN,密西西比河及格兰德河流域,year=null;status=原产地
红耳彩龟,红耳彩龟,REPORTED_IN,小坑水库,year=2017;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,山东省,year=null;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,山东省,year=null;status=查获
红耳彩龟,红耳彩龟,REPORTED_IN,山西省,year=null;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,巴林,year=null;status=有野化种群
红耳彩龟,红耳彩龟,REPORTED_IN,广东省,year=null;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,广东省,year=null;status=泛滥
红耳彩龟,红耳彩龟,REPORTED_IN,广州市,year=null;status=查获
红耳彩龟,红耳彩龟,REPORTED_IN,德克萨斯州,year=2017;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,拱北口岸,year=null;status=查获
红耳彩龟,红耳彩龟,REPORTED_IN,文锦渡口岸,year=2025;status=查获
红耳彩龟,红耳彩龟,REPORTED_IN,新南威尔士州,year=null;status=有繁殖种群
红耳彩龟,红耳彩龟,REPORTED_IN,日本,year=2006;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,日本,year=2023;status=立法禁止出售或放生
红耳彩龟,红耳彩龟,REPORTED_IN,昆士兰州,year=null;status=有繁殖种群
红耳彩龟,红耳彩龟,REPORTED_IN,杭州市西湖风景名胜区,year=null;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,欧洲,year=null;status=广泛分布
红耳彩龟,红耳彩龟,REPORTED_IN,武汉市,year=null;status=提及
红耳彩龟,红耳彩龟,REPORTED_IN,民政林场,year=2017;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,水绘园风景区,year=2025;status=提及
红耳彩龟,红耳彩龟,REPORTED_IN,江苏省,year=null;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,江门市,year=2023;status=查获
红耳彩龟,红耳彩龟,REPORTED_IN,河南省,year=null;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,泰国,year=null;status=有野化种群
红耳彩龟,红耳彩龟,REPORTED_IN,泰国,year=2019;status=发现白化个体
红耳彩龟,红耳彩龟,REPORTED_IN,浙江省,year=null;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,海南三亚,year=2026;status=提及
红耳彩龟,红耳彩龟,REPORTED_IN,海南省,year=null;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,深圳市,year=2025;status=查获
红耳彩龟,红耳彩龟,REPORTED_IN,湖北省,year=null;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,湖北省,year=null;status=提及
红耳彩龟,红耳彩龟,REPORTED_IN,湖南省,year=null;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,澳大利亚,year=null;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,澳大利亚,year=null;status=已入侵
红耳彩龟,红耳彩龟,REPORTED_IN,澳大利亚首都领地,year=null;status=有野生个体
红耳彩龟,红耳彩龟,REPORTED_IN,澳洲,year=null;status=有野化种群
红耳彩龟,红耳彩龟,REPORTED_IN,珠海市,year=2022;status=查获
红耳彩龟,红耳彩龟,REPORTED_IN,珠海市,year=2024;status=查获
红耳彩龟,红耳彩龟,REPORTED_IN,甘肃省,year=null;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,百慕大,year=null;status=有野化种群
红耳彩龟,红耳彩龟,REPORTED_IN,皇岗口岸,year=2023;status=查获
红耳彩龟,红耳彩龟,REPORTED_IN,福州市,year=null;status=查获
红耳彩龟,红耳彩龟,REPORTED_IN,福建省,year=null;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,福建省,year=null;status=泛滥
红耳彩龟,红耳彩龟,REPORTED_IN,福田口岸,year=2025;status=查获
红耳彩龟,红耳彩龟,REPORTED_IN,维多利亚州,year=null;status=有野生个体
红耳彩龟,红耳彩龟,REPORTED_IN,美洲,year=null;status=广泛分布
红耳彩龟,红耳彩龟,REPORTED_IN,艾藻尔,year=2019;status=发现
红耳彩龟,红耳彩龟,REPORTED_IN,英国,year=null;status=有野化种群
红耳彩龟,红耳彩龟,REPORTED_IN,莲塘口岸,year=2025;status=查获
红耳彩龟,红耳彩龟,REPORTED_IN,西溪国家湿地公园,year=null;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,西澳大利亚州,year=null;status=有野生个体
红耳彩龟,红耳彩龟,REPORTED_IN,西班牙,year=null;status=有野化种群
红耳彩龟,红耳彩龟,REPORTED_IN,西藏自治区,year=null;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,赛里木湖,year=2025;status=发现
红耳彩龟,红耳彩龟,REPORTED_IN,辽宁省,year=null;status=分布
红耳彩龟,红耳彩龟,REPORTED_IN,迪普比尔野生动物保护区,year=2018;status=发现
红耳彩龟,红耳彩龟,REPORTED_IN,长乐区,year=2026;status=提及
红耳彩龟,红耳彩龟,REPORTED_IN,长春动植物公园,year=2024;status=提及
红耳彩龟,红耳彩龟,REPORTED_IN,长春市,year=2024;status=提及
红耳彩龟,红耳彩龟,REPORTED_IN,长江流域,year=null;status=产卵期
红耳彩龟,红耳彩龟,REPORTED_IN,长江流域,year=null;status=提及
红耳彩龟,红耳彩龟,REPORTED_IN,闽江河口湿地,year=2026;status=提及
红耳彩龟,红耳彩龟,REPORTED_IN,非洲,year=null;status=广泛分布
红耳彩龟,红耳彩龟,REPORTED_IN,首都机场,year=2025;status=查获
红耳彩龟,红耳彩龟,REPORTED_IN,马里亚纳群岛,year=null;status=有野化种群
红耳彩龟,红耳彩龟,REPORTED_IN,黄婆洞水库,year=2017;status=分布
红耳彩龟,鳄龟,REPORTED_IN,中国,year=null;status=分布
非洲大蜗牛,福州市儿童公园,REPORTED_IN,福州市,year=2024;status=发生
非洲大蜗牛,福建省平潭综合实验区如意湖公园,REPORTED_IN,平潭综合实验区,year=2025;status=发生
非洲大蜗牛,福建省平潭综合实验区如意社区,REPORTED_IN,平潭综合实验区,year=2026;status=发生
非洲大蜗牛,福建省泉州市东湖公园,REPORTED_IN,泉州市,year=2025;status=发生
非洲大蜗牛,福建省福鼎市,REPORTED_IN,福鼎市,year=2025;status=发生
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,三亚市,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,三江镇,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,上奥果韦省,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,上杭县,year=2024;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,东南巴西,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,东南沿海地区,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,东沙岛,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,中国,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,中国中部和北部,year=null;status=新近报道
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,中央邦,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,乌泰他尼府,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,乌隆府,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,也拉府,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,云南省,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,五邑大学,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,亚马逊地区,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,亚马逊州,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,伯南布哥州,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,佛丕府,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,佛统府,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,信武里府,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,儋州市,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,关塔那摩省,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,农村地区,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,加勒比地区,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,加拉信府,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,加蓬,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,化龙镇,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,北大年府,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,北方邦,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,北标府,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,北榄府,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,北碧府,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,北里奥格兰德州,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,华南地区,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,华富里府,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,华石镇,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,南印度,year=1920s;status=扩散
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,南宁市,year=2013;status=发现
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,南宁市,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,南山区,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,南投县,year=null;status=培育
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,南投县埔里镇,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,南投县草屯镇,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,南投市,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,南沙区,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,南澳县,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,南里奥格兰德州,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,南马托格罗索州,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,卡利,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,卡纳塔克邦,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,卡马圭省,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,印度,year=1847;status=到达
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,印度尼西亚,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,厦门市,year=1931;status=首次发现
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,厦门市,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,厦门市,year=2025;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,厦门市,year=1930;status=首次发现
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,双东街道,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,双水镇,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,古吉拉特邦,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,古巴,year=2014;status=入侵
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,台湾省,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,台湾省,year=1932;status=传入
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,台湾省,year=1930;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,叻丕府,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,和平县,year=null;status=未采集到
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,哈瓦那,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,哈瓦那省,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,哥伦比亚,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,喀拉拉邦,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,嘉义县阿里山,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,四川省,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,圣保罗州,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,圣卡塔琳娜州,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,圣地亚哥省,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,圣埃斯皮里图州,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,圣斯皮里图斯省,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,城市地区,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,城郊地区,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,塞尔希培州,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,塞舌尔,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,塞阿拉州,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,夏威夷,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,大城府,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,大岗镇,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,大西洋省,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,太平洋岛屿,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,太平镇,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,奥孔贾,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,奥尔金省,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,奥里萨邦,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,孔敬府,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,孟加拉国,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,安得拉邦,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,安溪县,year=null;status=分布质心
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,安蒂奥基亚省,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,安达曼和尼科巴群岛,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,宋卡府,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,富宁县,year=2001;status=发现
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,尖竹汶府,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,屏东县好茶玛家,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,屏东县恒春半岛,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,屏东县来义,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,屏东县满州乡,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,屏东市,year=1982;status=培育
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,差春骚府,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,巴伊亚州,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,巴吞他尼府,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,巴布亚新几内亚,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,巴拉那州,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,巴真府,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,巴蜀府,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,巴西,year=1980s;status=引入
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,巴西,year=null;status=检测到携带广州管圆线虫
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,巴西利亚,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,帕尧府,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,帕府,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,帕拉伊巴州,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,帕拉州,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,平潭综合实验区,year=2025;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,广东省,year=null;status=分布
非洲大蜗牛,非洲大蜗牛,REPORTED_IN,广宁县,year=null;status=未调查
