species,Entity1,Relationship,Entity2,Property
红耳彩龟,拱北口岸,LOCATED_IN,广东省,
红耳彩龟,挪威,LOCATED_IN,欧洲,
红耳彩龟,挪威南极领地,LOCATED_IN,南极洲,
红耳彩龟,捷克,LOCATED_IN,欧洲,
红耳彩龟,摩尔多瓦,LOCATED_IN,欧洲,
红耳彩龟,摩洛哥,LOCATED_IN,非洲,
红耳彩龟,摩纳哥,LOCATED_IN,欧洲,
红耳彩龟,文莱,LOCATED_IN,亚洲,
红耳彩龟,文锦渡口岸,LOCATED_IN,广东省,
红耳彩龟,斐济,LOCATED_IN,大洋洲,
红耳彩龟,斯威士兰,LOCATED_IN,非洲,
红耳彩龟,斯洛伐克,LOCATED_IN,欧洲,
红耳彩龟,斯洛文尼亚,LOCATED_IN,欧洲,
红耳彩龟,斯瓦尔巴群岛,LOCATED_IN,欧洲,
红耳彩龟,斯里兰卡,LOCATED_IN,亚洲,
红耳彩龟,新加坡,LOCATED_IN,亚洲,
红耳彩龟,新疆维吾尔自治区,LOCATED_IN,中国,
红耳彩龟,新西兰,LOCATED_IN,大洋洲,
红耳彩龟,日本,LOCATED_IN,亚洲,
红耳彩龟,智利,LOCATED_IN,南美洲,
红耳彩龟,智利南极领地,LOCATED_IN,南极洲,
红耳彩龟,朝鲜,LOCATED_IN,亚洲,
红耳彩龟,杭州市,LOCATED_IN,浙江省,
红耳彩龟,杭州市西湖风景名胜区,LOCATED_IN,杭州市,
红耳彩龟,柬埔寨,LOCATED_IN,亚洲,
红耳彩龟,格陵兰,LOCATED_IN,北美洲,
红耳彩龟,格鲁吉亚,LOCATED_IN,亚洲,
红耳彩龟,梵蒂冈,LOCATED_IN,欧洲,
红耳彩龟,欧洲,LOCATED_IN,世界,
红耳彩龟,欧洲联盟,LOCATED_IN,欧洲,
红耳彩龟,武汉市,LOCATED_IN,湖北省,
红耳彩龟,比利时,LOCATED_IN,欧洲,
红耳彩龟,毛德皇后地,LOCATED_IN,南极洲,
红耳彩龟,毛里塔尼亚,LOCATED_IN,非洲,
红耳彩龟,毛里求斯,LOCATED_IN,非洲,
红耳彩龟,民政林场,LOCATED_IN,广州市,
红耳彩龟,水绘园风景区,LOCATED_IN,如皋市,
红耳彩龟,江苏省,LOCATED_IN,中国,
红耳彩龟,江门市,LOCATED_IN,广东省,
红耳彩龟,汤加,LOCATED_IN,大洋洲,
红耳彩龟,沙特阿拉伯,LOCATED_IN,亚洲,
红耳彩龟,河南省,LOCATED_IN,中国,
红耳彩龟,法国,LOCATED_IN,欧洲,
红耳彩龟,法属南部和南极领地,LOCATED_IN,南极洲,
红耳彩龟,法属圭亚那,LOCATED_IN,南美洲,
红耳彩龟,法罗群岛,LOCATED_IN,欧洲,
红耳彩龟,波兰,LOCATED_IN,欧洲,
红耳彩龟,波斯尼亚和黑塞哥维那,LOCATED_IN,欧洲,
红耳彩龟,泰国,LOCATED_IN,亚洲,
红耳彩龟,津巴布韦,LOCATED_IN,非洲,
红耳彩龟,洪都拉斯,LOCATED_IN,中美洲,
红耳彩龟,浙江省,LOCATED_IN,中国,
红耳彩龟,海南三亚,LOCATED_IN,海南省,
红耳彩龟,海南省,LOCATED_IN,中国,
红耳彩龟,深圳市,LOCATED_IN,广东省,
红耳彩龟,湖北省,LOCATED_IN,中国,
红耳彩龟,湖南省,LOCATED_IN,中国,
红耳彩龟,澳大利亚,LOCATED_IN,大洋洲,
红耳彩龟,澳大利亚南极领地,LOCATED_IN,南极洲,
红耳彩龟,爱尔兰,LOCATED_IN,欧洲,
红耳彩龟,爱沙尼亚,LOCATED_IN,欧洲,
红耳彩龟,玛丽伯德地,LOCATED_IN,南极洲,
红耳彩龟,玻利维亚,LOCATED_IN,南美洲,
红耳彩龟,珠海市,LOCATED_IN,广东省,
红耳彩龟,瑙鲁,LOCATED_IN,大洋洲,
红耳彩龟,瑞典,LOCATED_IN,欧洲,
红耳彩龟,瑞士,LOCATED_IN,欧洲,
红耳彩龟,瓦努阿图,LOCATED_IN,大洋洲,
红耳彩龟,甘肃省,LOCATED_IN,中国,
红耳彩龟,白俄罗斯,LOCATED_IN,欧洲,
红耳彩龟,百慕大,LOCATED_IN,北美洲,
红耳彩龟,皇岗口岸,LOCATED_IN,广东省,
红耳彩龟,福州市,LOCATED_IN,福建省,
红耳彩龟,福建省,LOCATED_IN,中国,
红耳彩龟,福田口岸,LOCATED_IN,广东省,
红耳彩龟,科威特,LOCATED_IN,亚洲,
红耳彩龟,科摩罗,LOCATED_IN,非洲,
红耳彩龟,科特迪瓦,LOCATED_IN,非洲,
红耳彩龟,秘鲁,LOCATED_IN,南美洲,
红耳彩龟,突尼斯,LOCATED_IN,非洲,
红耳彩龟,立陶宛,LOCATED_IN,欧洲,
红耳彩龟,索马里,LOCATED_IN,非洲,
红耳彩龟,约旦,LOCATED_IN,亚洲,
红耳彩龟,纳米比亚,LOCATED_IN,非洲,
红耳彩龟,维多利亚地,LOCATED_IN,南极洲,
红耳彩龟,缅甸,LOCATED_IN,亚洲,
红耳彩龟,罗斯属地,LOCATED_IN,南极洲,
红耳彩龟,罗马尼亚,LOCATED_IN,欧洲,
红耳彩龟,美国,LOCATED_IN,北美洲,
红耳彩龟,美国南部,LOCATED_IN,美国,
红耳彩龟,美国密西西比河流域,LOCATED_IN,北美,
红耳彩龟,美洲,LOCATED_IN,世界,
红耳彩龟,老挝,LOCATED_IN,亚洲,
红耳彩龟,肯尼亚,LOCATED_IN,非洲,
红耳彩龟,芬兰,LOCATED_IN,欧洲,
红耳彩龟,苏丹,LOCATED_IN,非洲,
红耳彩龟,苏里南,LOCATED_IN,南美洲,
红耳彩龟,英国,LOCATED_IN,欧洲,
红耳彩龟,英国南极领地,LOCATED_IN,南极洲,
红耳彩龟,荷兰,LOCATED_IN,欧洲,
红耳彩龟,莫桑比克,LOCATED_IN,非洲,
红耳彩龟,莱索托,LOCATED_IN,非洲,
红耳彩龟,莲塘口岸,LOCATED_IN,广东省,
红耳彩龟,菲律宾,LOCATED_IN,亚洲,
红耳彩龟,萨尔瓦多,LOCATED_IN,中美洲,
红耳彩龟,萨摩亚,LOCATED_IN,大洋洲,
红耳彩龟,葡萄牙,LOCATED_IN,欧洲,
红耳彩龟,蒙古,LOCATED_IN,亚洲,
红耳彩龟,西印度群岛,LOCATED_IN,加勒比地区,
红耳彩龟,西撒哈拉,LOCATED_IN,非洲,
红耳彩龟,西溪国家湿地公园,LOCATED_IN,杭州市,
红耳彩龟,西班牙,LOCATED_IN,欧洲,
红耳彩龟,西藏自治区,LOCATED_IN,中国,
红耳彩龟,贝宁,LOCATED_IN,非洲,
红耳彩龟,赛里木湖,LOCATED_IN,新疆维吾尔自治区,
红耳彩龟,赞比亚,LOCATED_IN,非洲,
红耳彩龟,赤道几内亚,LOCATED_IN,非洲,
红耳彩龟,赫德岛和麦克唐纳群岛,LOCATED_IN,南极洲,
红耳彩龟,越南,LOCATED_IN,亚洲,
红耳彩龟,辽宁省,LOCATED_IN,中国,
红耳彩龟,长乐区,LOCATED_IN,福州市,
红耳彩龟,长春动植物公园,LOCATED_IN,长春市,
红耳彩龟,长春市,LOCATED_IN,吉林省,
红耳彩龟,长江流域,LOCATED_IN,中国,
红耳彩龟,闽江河口湿地,LOCATED_IN,长乐区,
红耳彩龟,阿塞拜疆,LOCATED_IN,亚洲,
红耳彩龟,阿富汗,LOCATED_IN,亚洲,
红耳彩龟,阿尔及利亚,LOCATED_IN,非洲,
红耳彩龟,阿尔巴尼亚,LOCATED_IN,欧洲,
红耳彩龟,阿拉伯联合酋长国,LOCATED_IN,亚洲,
红耳彩龟,阿曼,LOCATED_IN,亚洲,
红耳彩龟,阿根廷,LOCATED_IN,南美洲,
红耳彩龟,阿根廷南极领地,LOCATED_IN,南极洲,
红耳彩龟,非洲,LOCATED_IN,世界,
红耳彩龟,韩国,LOCATED_IN,亚洲,
红耳彩龟,首都机场,LOCATED_IN,北京市,
红耳彩龟,马尔代夫,LOCATED_IN,亚洲,
红耳彩龟,马拉维,LOCATED_IN,非洲,
红耳彩龟,马来西亚,LOCATED_IN,亚洲,
红耳彩龟,马绍尔群岛,LOCATED_IN,大洋洲,
红耳彩龟,马耳他,LOCATED_IN,欧洲,
红耳彩龟,马达加斯加,LOCATED_IN,非洲,
红耳彩龟,马里,LOCATED_IN,非洲,
红耳彩龟,黄婆洞水库,LOCATED_IN,广州市,
红耳彩龟,黎巴嫩,LOCATED_IN,亚洲,
红耳彩龟,黑山,LOCATED_IN,欧洲,
非洲大蜗牛,三亚市,LOCATED_IN,海南省,
非洲大蜗牛,三明市,LOCATED_IN,福建省,
非洲大蜗牛,三江镇,LOCATED_IN,江门市,
非洲大蜗牛,上奥果韦省,LOCATED_IN,加蓬,
非洲大蜗牛,上杭县,LOCATED_IN,龙岩市,
非洲大蜗牛,东沙岛,LOCATED_IN,台湾省,
非洲大蜗牛,东非,LOCATED_IN,非洲,
非洲大蜗牛,中央邦,LOCATED_IN,印度,
非洲大蜗牛,乌泰他尼府,LOCATED_IN,泰国,
非洲大蜗牛,乌隆府,LOCATED_IN,泰国,
非洲大蜗牛,也拉府,LOCATED_IN,泰国,
非洲大蜗牛,云南省,LOCATED_IN,中国,
非洲大蜗牛,云浮市,LOCATED_IN,广东省,
非洲大蜗牛,亚马逊州,LOCATED_IN,巴西,
非洲大蜗牛,伯南布哥州,LOCATED_IN,巴西,
非洲大蜗牛,佛丕府,LOCATED_IN,泰国,
非洲大蜗牛,佛统府,LOCATED_IN,泰国,
非洲大蜗牛,信武里府,LOCATED_IN,泰国,
非洲大蜗牛,儋州市,LOCATED_IN,海南省,
非洲大蜗牛,关塔那摩省,LOCATED_IN,古巴,
非洲大蜗牛,加拉信府,LOCATED_IN,泰国,
非洲大蜗牛,化龙镇,LOCATED_IN,番禺区,
非洲大蜗牛,北大年府,LOCATED_IN,泰国,
非洲大蜗牛,北方邦,LOCATED_IN,印度,
非洲大蜗牛,北标府,LOCATED_IN,泰国,
非洲大蜗牛,北榄府,LOCATED_IN,泰国,
非洲大蜗牛,北碧府,LOCATED_IN,泰国,
非洲大蜗牛,北里奥格兰德州,LOCATED_IN,巴西,
非洲大蜗牛,华富里府,LOCATED_IN,泰国,
非洲大蜗牛,华石镇,LOCATED_IN,罗定市,
非洲大蜗牛,南宁市,LOCATED_IN,广西壮族自治区,
非洲大蜗牛,南山区,LOCATED_IN,深圳市,
非洲大蜗牛,南平市,LOCATED_IN,福建省,
非洲大蜗牛,南投县,LOCATED_IN,台湾省,
非洲大蜗牛,南投市,LOCATED_IN,南投县,
非洲大蜗牛,南沙区,LOCATED_IN,广州市,
非洲大蜗牛,南澳县,LOCATED_IN,汕头市,
非洲大蜗牛,南里奥格兰德州,LOCATED_IN,巴西,
非洲大蜗牛,南马托格罗索州,LOCATED_IN,巴西,
非洲大蜗牛,卡利,LOCATED_IN,哥伦比亚,
非洲大蜗牛,卡纳塔克邦,LOCATED_IN,印度,
非洲大蜗牛,卡马圭省,LOCATED_IN,古巴,
非洲大蜗牛,厦门市,LOCATED_IN,福建省,
非洲大蜗牛,厦门市,LOCATED_IN,福建省,","
非洲大蜗牛,厦门市,LOCATED_IN,福建省,无
非洲大蜗牛,双东街道,LOCATED_IN,罗定市,
非洲大蜗牛,双水镇,LOCATED_IN,江门市,
非洲大蜗牛,古吉拉特邦,LOCATED_IN,印度,
非洲大蜗牛,台湾省,LOCATED_IN,中国,
非洲大蜗牛,叻丕府,LOCATED_IN,泰国,
非洲大蜗牛,和平县,LOCATED_IN,河源市,
非洲大蜗牛,哈瓦那,LOCATED_IN,古巴,
非洲大蜗牛,哈瓦那省,LOCATED_IN,古巴,
非洲大蜗牛,喀拉拉邦,LOCATED_IN,印度,
非洲大蜗牛,嘉义县,LOCATED_IN,台湾省,
非洲大蜗牛,四川省,LOCATED_IN,中国,
非洲大蜗牛,圣保罗州,LOCATED_IN,巴西,
非洲大蜗牛,圣卡塔琳娜州,LOCATED_IN,巴西,
非洲大蜗牛,圣地亚哥省,LOCATED_IN,古巴,
非洲大蜗牛,圣埃斯皮里图州,LOCATED_IN,巴西,
非洲大蜗牛,圣斯皮里图斯省,LOCATED_IN,古巴,
非洲大蜗牛,坦桑尼亚,LOCATED_IN,东非,","
非洲大蜗牛,坦桑尼亚,LOCATED_IN,东非,
非洲大蜗牛,坦桑尼亚,LOCATED_IN,非洲东部,无
非洲大蜗牛,坦桑尼亚桑给巴尔,LOCATED_IN,坦桑尼亚,无
非洲大蜗牛,埔里镇,LOCATED_IN,南投县,
非洲大蜗牛,塞尔希培州,LOCATED_IN,巴西,
非洲大蜗牛,塞阿拉州,LOCATED_IN,巴西,
非洲大蜗牛,大城府,LOCATED_IN,泰国,
非洲大蜗牛,大岗镇,LOCATED_IN,番禺区,
非洲大蜗牛,大西洋省,LOCATED_IN,哥伦比亚,
非洲大蜗牛,太平镇,LOCATED_IN,罗定市,
非洲大蜗牛,太鲁阁,LOCATED_IN,花莲县,
非洲大蜗牛,奔巴,LOCATED_IN,坦桑尼亚,","
非洲大蜗牛,奔巴岛,LOCATED_IN,坦桑尼亚,
非洲大蜗牛,奔巴岛,LOCATED_IN,坦桑尼亚,无
非洲大蜗牛,奥孔贾,LOCATED_IN,上奥果韦省,
非洲大蜗牛,奥尔金省,LOCATED_IN,古巴,
非洲大蜗牛,奥里萨邦,LOCATED_IN,印度,
非洲大蜗牛,好茶玛家,LOCATED_IN,屏东县,
非洲大蜗牛,孔敬府,LOCATED_IN,泰国,
非洲大蜗牛,宁化县,LOCATED_IN,三明市,
非洲大蜗牛,安得拉邦,LOCATED_IN,印度,
非洲大蜗牛,安溪县,LOCATED_IN,泉州市,
非洲大蜗牛,安蒂奥基亚省,LOCATED_IN,哥伦比亚,
非洲大蜗牛,安达曼和尼科巴群岛,LOCATED_IN,印度,
非洲大蜗牛,宋卡府,LOCATED_IN,泰国,
非洲大蜗牛,富宁县,LOCATED_IN,文山壮族苗族自治州,
非洲大蜗牛,尖竹汶府,LOCATED_IN,泰国,
非洲大蜗牛,屏东县,LOCATED_IN,台湾省,
非洲大蜗牛,屏东市,LOCATED_IN,台湾省,
非洲大蜗牛,差春骚府,LOCATED_IN,泰国,
非洲大蜗牛,巴伊亚州,LOCATED_IN,巴西,
非洲大蜗牛,巴吞他尼府,LOCATED_IN,泰国,
非洲大蜗牛,巴拉那州,LOCATED_IN,巴西,
非洲大蜗牛,巴真府,LOCATED_IN,泰国,
非洲大蜗牛,巴蜀府,LOCATED_IN,泰国,
非洲大蜗牛,巴西,LOCATED_IN,南美洲,
非洲大蜗牛,巴西利亚,LOCATED_IN,巴西,
非洲大蜗牛,帕尧府,LOCATED_IN,泰国,
非洲大蜗牛,帕府,LOCATED_IN,泰国,
非洲大蜗牛,帕拉伊巴州,LOCATED_IN,巴西,
非洲大蜗牛,帕拉州,LOCATED_IN,巴西,
非洲大蜗牛,平溪区,LOCATED_IN,新北市,
非洲大蜗牛,平潭综合实验区,LOCATED_IN,福建省,
非洲大蜗牛,平潭综合实验区,LOCATED_IN,福建省,无
非洲大蜗牛,广东省,LOCATED_IN,中国,
非洲大蜗牛,广宁县,LOCATED_IN,肇庆市,
非洲大蜗牛,广州市,LOCATED_IN,广东省,
非洲大蜗牛,广州市,LOCATED_IN,广东省,无
非洲大蜗牛,广西壮族自治区,LOCATED_IN,中国,
非洲大蜗牛,廊开府,LOCATED_IN,泰国,
非洲大蜗牛,延平区,LOCATED_IN,南平市,
非洲大蜗牛,弗朗斯维尔,LOCATED_IN,上奥果韦省,
非洲大蜗牛,彭世洛府,LOCATED_IN,泰国,
非洲大蜗牛,思明区,LOCATED_IN,厦门市,
非洲大蜗牛,思茅区,LOCATED_IN,普洱市,","
非洲大蜗牛,恒春半岛,LOCATED_IN,屏东县,
非洲大蜗牛,惠州市,LOCATED_IN,广东省,
非洲大蜗牛,戈亚斯州,LOCATED_IN,巴西,
非洲大蜗牛,托利马省,LOCATED_IN,哥伦比亚,
非洲大蜗牛,托坎廷斯州,LOCATED_IN,巴西,
非洲大蜗牛,披集府,LOCATED_IN,泰国,
非洲大蜗牛,拉克沙群岛,LOCATED_IN,印度,
非洲大蜗牛,拉廊府,LOCATED_IN,泰国,
非洲大蜗牛,拉斯图纳斯省,LOCATED_IN,古巴,
非洲大蜗牛,攀牙府,LOCATED_IN,泰国,
非洲大蜗牛,文山壮族苗族自治州,LOCATED_IN,云南省,
非洲大蜗牛,文山壮族苗族自治州,LOCATED_IN,云南省,","
非洲大蜗牛,文昌楼北面绿地,LOCATED_IN,柳州市,
非洲大蜗牛,新会市,LOCATED_IN,江门市,
非洲大蜗牛,新北市,LOCATED_IN,台湾省,
非洲大蜗牛,新店区,LOCATED_IN,新北市,
非洲大蜗牛,昆迪纳马卡省,LOCATED_IN,哥伦比亚,
非洲大蜗牛,春武里府,LOCATED_IN,泰国,
非洲大蜗牛,春蓬府,LOCATED_IN,泰国,
非洲大蜗牛,晋安区,LOCATED_IN,福州市,
非洲大蜗牛,晋安河公园,LOCATED_IN,晋安区,
非洲大蜗牛,普吉府,LOCATED_IN,泰国,
非洲大蜗牛,普洱市,LOCATED_IN,云南省,","
非洲大蜗牛,暖武里府,LOCATED_IN,泰国,
非洲大蜗牛,曲江区,LOCATED_IN,韶关市,
非洲大蜗牛,曼尼普尔邦,LOCATED_IN,印度,
非洲大蜗牛,曼谷,LOCATED_IN,泰国,
非洲大蜗牛,朗多尼亚州,LOCATED_IN,巴西,
非洲大蜗牛,来义,LOCATED_IN,屏东县,
非洲大蜗牛,板桥区,LOCATED_IN,新北市,
非洲大蜗牛,柳州市,LOCATED_IN,广西壮族自治区,
非洲大蜗牛,格拉玛省,LOCATED_IN,古巴,
非洲大蜗牛,桑坦德省,LOCATED_IN,哥伦比亚,
非洲大蜗牛,桑给巴尔,LOCATED_IN,坦桑尼亚,","
非洲大蜗牛,桑给巴尔,LOCATED_IN,坦桑尼亚,
非洲大蜗牛,桑给巴尔奔巴岛一带,LOCATED_IN,东非,
非洲大蜗牛,梅加拉亚邦,LOCATED_IN,印度,
非洲大蜗牛,榄核镇,LOCATED_IN,番禺区,
非洲大蜗牛,比亚克拉拉省,LOCATED_IN,古巴,
非洲大蜗牛,比哈尔邦,LOCATED_IN,印度,
非洲大蜗牛,比那尔德里奥省,LOCATED_IN,古巴,
非洲大蜗牛,水南街道江南社区,LOCATED_IN,延平区,
非洲大蜗牛,永兴岛,LOCATED_IN,西沙群岛,
非洲大蜗牛,汕头市,LOCATED_IN,广东省,
非洲大蜗牛,江西省,LOCATED_IN,中国,
非洲大蜗牛,江门市,LOCATED_IN,广东省,
非洲大蜗牛,江门市,LOCATED_IN,广东省,无
非洲大蜗牛,沙功那空府,LOCATED_IN,泰国,
非洲大蜗牛,沙拉武里府,LOCATED_IN,泰国,
非洲大蜗牛,沙敦府,LOCATED_IN,泰国,
非洲大蜗牛,沙缴府,LOCATED_IN,泰国,
非洲大蜗牛,河源市,LOCATED_IN,广东省,
非洲大蜗牛,泉州市,LOCATED_IN,福建省,
非洲大蜗牛,泉州市,LOCATED_IN,福建省,无
非洲大蜗牛,泰米尔纳德邦,LOCATED_IN,印度,
非洲大蜗牛,海南省,LOCATED_IN,中国,
非洲大蜗牛,海口市,LOCATED_IN,海南省,
非洲大蜗牛,海口市,LOCATED_IN,海南省,无
非洲大蜗牛,深圳市,LOCATED_IN,广东省,
非洲大蜗牛,深圳市,LOCATED_IN,广东省,无
非洲大蜗牛,清莱府,LOCATED_IN,泰国,
非洲大蜗牛,清迈府,LOCATED_IN,泰国,
非洲大蜗牛,湖北省,LOCATED_IN,中国,
非洲大蜗牛,湖南省,LOCATED_IN,中国,
非洲大蜗牛,满州乡,LOCATED_IN,屏东县,
